Old_Locus,Locus,Info,log2FC,padj,TPM_BF,TPM_Ctrl,log2TPM_BF,log2TPM_Ctrl,protein_fam,Protein family LH,AOA conserved,AOA exclusive,Conserved,Conserved LH,Rank TPM
NMAR_RS06250,0,hypothetical protein,2.1,1.40E-21,1394.72888,465.3636143,10.4,8.75027115,#N/A,Thaumi_prot_LH_FAM006582,#N/A,#N/A,NA,NM,43
NMAR_RS06230,Nmar_1161,hypothetical protein,2.1,2.51E-09,5.702198445,2.231618848,2.32,1.076895831,76G-FAM028465,Thaumi_prot_LH_FAM006579,N,Y,NM,NM,1546
NMAR_RS01940,Nmar_0363,hypothetical protein,2.09,5.59E-50,3717.190129,1297.10572,11.85,10.32765828,76G-FAM008887,Thaumi_prot_LH_FAM001865,N,Y,NM,NM,25
NMAR_RS00910,Nmar_R0004,tRNA-Arg,2.07,0.226482327,7.155594372,2.762456195,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,NA,1456
NMAR_RS02495,Nmar_R0019,tRNA-Glu,2.04,0.001115038,17.36944492,4.09393139,2.91,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,NA,987
NMAR_RS02615,Nmar_0488,arsenate reductase ArsC,1.97,1.38E-08,12.05328144,4.324957425,3.54,2.0753085,76G-FAM002077,Thaumi_prot_LH_FAM001268,N,N,NV+NM,NV+NM,1202
NMAR_RS09810,0,hypothetical protein,1.92,2.02E-13,90.30212184,35.44332907,6.35,5.127364958,#N/A,Thaumi_prot_LH_FAM006608,#N/A,#N/A,NA,NM,346
NMAR_RS00185,Nmar_0035,hypothetical protein,1.92,4.07E-44,627.3926402,237.4886236,9.25,7.881137723,76G-FAM008172,Thaumi_prot_LH_FAM001819,N,Y,NM,NM,69
NMAR_RS09805,0,hypothetical protein,1.92,3.62E-24,17235.44666,6366.393737,14.01,12.57882946,#N/A,Thaumi_prot_LH_FAM006606,#N/A,#N/A,NA,NM,8
NMAR_RS10045,0,hypothetical protein,1.89,0.460924252,2.894252527,0.785384191,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,NA,1751
NMAR_RS04840,0,hypothetical protein,1.89,1.58E-11,34.48131891,18.29691408,5.08,4.148357935,#N/A,Thaumi_prot_LH_FAM001993,#N/A,#N/A,NA,NM,678
NMAR_RS02445,Nmar_0458,hypothetical protein,1.89,9.34E-16,79.42937667,31.0489963,6.27,4.929874688,76G-FAM008892,Thaumi_prot_LH_FAM000159,N,Y,NM,NM,379
NMAR_RS07250,Nmar_1354,multicopper oxidase MCO4,1.88,7.64E-65,7729.802112,2979.582466,12.87,11.52892529,76G-FAM003386,Thaumi_prot_LH_FAM000878,N,N,NV+NF+NM,NV+NF+NM,16
NMAR_RS03375,Nmar_0630,hypothetical protein,1.88,2.91E-42,59.73286106,22.68597275,5.86,4.498217537,76G-FAM008753,Thaumi_prot_LH_FAM000712,N,Y,NM,NM,474
NMAR_RS05360,Nmar_1001,Lrp/AsnC ligand binding domain-containing protein,1.86,3.01E-06,16.10134997,6.273406412,3.94,2.552159956,76G-FAM000172_0,Thaumi_prot_LH_FAM000047_0,Y,N,NV+NF+NM,NV+NF+NM,1028
NMAR_RS07175,Nmar_1340,TFIIB-type zinc ribbon-containing protein,1.83,1.39E-33,445.1598057,184.1000444,8.78,7.496235447,76G-FAM000279_0,Thaumi_prot_LH_FAM000723_0,Y,N,NV+NF+NM,NV+NF+NM,93
NMAR_RS00190,Nmar_0036,hypothetical protein,1.8,0.000311025,13.91876844,5.738864727,3.7,2.36149053,76G-FAM008173,Thaumi_prot_LH_FAM001075,N,Y,NM,NM,1113
NMAR_RS03125,Nmar_0584,hypothetical protein,1.8,1.81E-27,57.40574244,25.68684171,5.79,4.676257198,76G-FAM008570,Thaumi_prot_LH_FAM001900,N,Y,NM,NM,489
NMAR_RS09770,0,hypothetical protein,1.79,0.611136424,0.555023887,0.329897308,#NUM!,#NUM!,#N/A,Thaumi_prot_LH_FAM002041,#N/A,#N/A,NA,NM,1937
NMAR_RS06255,Nmar_1164,hypothetical protein,1.77,1.19E-15,1653.616528,700.6617648,10.62,9.349687215,76G-FAM028468,Thaumi_prot_LH_FAM006583,N,Y,NM,NM,40
NMAR_RS04240,Nmar_R0025,tRNA-Asn,1.75,6.72E-05,54.26167249,25.10701091,5.67,4.616128863,#N/A,#N/A,#N/A,#N/A,NA,NA,506
NMAR_RS04875,0,hypothetical protein,1.75,2.72E-30,1239.247229,539.0951333,10.22,9.045135614,#N/A,Thaumi_prot_LH_FAM001520,#N/A,#N/A,NA,NM,45
NMAR_RS00570,Nmar_0108,divalent-cation tolerance protein CutA,1.75,0.45039218,0.629343271,0.076927053,#NUM!,#NUM!,76G-FAM001468,Thaumi_prot_LH_FAM000561,N,N,NV+NF+NM,NV+NF+NM,1933
NMAR_RS08650,Nmar_1618,tetratricopeptide repeat protein,1.74,3.50E-17,78.67213897,31.83098465,6.16,4.962989419,76G-FAM008127,Thaumi_prot_LH_FAM000980,N,Y,NM,NM,385
NMAR_RS07195,Nmar_1343,ectoine hydroxylase,1.73,3.40E-19,32.39819518,13.72796607,4.99,3.76327095,76G-FAM008925,Thaumi_prot_LH_FAM002096,N,Y,NM,NM,703
NMAR_RS05395,Nmar_1008,M20/M25/M40 family metallo-hydrolase,1.72,2.26E-46,243.0831078,105.5776525,7.89,6.705095133,76G-FAM008635,Thaumi_prot_LH_FAM002021,N,Y,NM,NM,159
NMAR_RS08070,Nmar_1504,hypothetical protein,1.72,3.99E-12,37.11163348,14.70163283,5.14,3.821279683,76G-FAM008497,Thaumi_prot_LH_FAM000257,N,Y,NM,NM,656
NMAR_RS07240,Nmar_1352,ArsR family transcriptional regulator,1.71,2.83E-59,582.212008,163.6900736,8.97,7.347730443,76G-FAM007384,Thaumi_prot_LH_FAM001538,N,Y,NV+NF+NM,NV+NF+NM,72
NMAR_RS01400,NMAR_0,tRNA-Asp,1.71,1.42E-05,180.5952832,82.36788125,7.3,6.233019472,#N/A,#N/A,#N/A,#N/A,NA,NA,198
NMAR_RS00170,Nmar_0032,hypothetical protein,1.7,2.93E-13,395.4098846,171.4689113,8.58,7.360274124,76G-FAM008525,Thaumi_prot_LH_FAM001818,N,Y,NM,NM,106
NMAR_RS04150,Nmar_0776,hypothetical protein,1.7,0.000328553,15.56741405,10.57308136,3.75,3.370141883,76G-FAM008903,Thaumi_prot_LH_FAM001953,N,Y,NM,NM,1051
NMAR_RS01620,Nmar_0304,hypothetical protein,1.7,1.22E-22,96.79645669,43.98455,6.56,5.444383156,76G-FAM003537_0,Thaumi_prot_LH_FAM000040_0,Y,N,NV+NF+NM,NV+NF+NM,327
NMAR_RS00550,0,signal recognition particle sRNA,1.68,0.001177495,298670.7855,150459.0206,18.11,17.18984731,#N/A,#N/A,#N/A,#N/A,NA,NA,1
NMAR_RS09845,0,hypothetical protein,1.67,6.25E-05,12.91882358,11.67148651,3.44,3.183689922,#N/A,Thaumi_prot_LH_FAM002121,#N/A,#N/A,NA,NM,1164
NMAR_RS02455,Nmar_0460,CHASE3 domain-containing protein,1.67,6.33E-25,19.55367266,9.946983468,4.23,3.288876278,76G-FAM028435,Thaumi_prot_LH_FAM006549,N,Y,NM,NM,913
NMAR_RS00360,Nmar_R0001,tRNA-Gly,1.63,0.426813957,2.452749288,0.202713181,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,NA,1786
NMAR_RS05440,0,hypothetical protein,1.62,1.81E-24,444.6786466,194.9628857,8.77,7.596346307,#N/A,Thaumi_prot_LH_FAM001677,#N/A,#N/A,NA,NM,94
NMAR_RS07205,Nmar_1345,diaminobutyrate--2-oxoglutarate transaminase,1.6,1.68E-06,6.139101981,3.024288379,2.53,1.506507232,76G-FAM008927,Thaumi_prot_LH_FAM002098,N,Y,NM,NM,1517
NMAR_RS06545,Nmar_1217,hypothetical protein,1.6,0.19021045,2.773606282,1.999024874,#NUM!,0.927887433,76G-FAM008918,Thaumi_prot_LH_FAM002071,N,Y,NM,NM,1760
NMAR_RS06265,Nmar_1165,MT-A70 family methyltransferase,1.6,1.68E-06,9.581527262,4.676268069,3.19,2.199806022,76G-FAM028469,Thaumi_prot_LH_FAM006585,N,Y,NM,NM,1326
NMAR_RS00060,0,hypothetical protein,1.59,2.38E-12,128.1387802,62.84762797,6.91,5.92621018,#N/A,Thaumi_prot_LH_FAM001627,#N/A,#N/A,NA,NM,267
NMAR_RS02610,Nmar_0487,metalloregulator ArsR/SmtB family transcription factor,1.57,0.015931146,8.001396967,4.309902928,2.87,1.946955239,76G-FAM008226,Thaumi_prot_LH_FAM001887,N,Y,NM,NM,1410
NMAR_RS06275,Nmar_1167,hypothetical protein,1.55,0.000628886,9.771456659,4.541962971,3.1,2.155827915,76G-FAM028471,Thaumi_prot_LH_FAM006587,N,Y,NM,NM,1313
NMAR_RS09740,0,hypothetical protein,1.55,6.04E-05,41.24462422,22.85923774,5.3,4.368014094,#N/A,Thaumi_prot_LH_FAM001987,#N/A,#N/A,NA,NM,602
NMAR_RS05445,0,hypothetical protein,1.53,1.31E-25,307.5640675,145.4657418,8.25,7.151691005,#N/A,Thaumi_prot_LH_FAM000186_0,#N/A,#N/A,NA,NV+NF+NM,128
NMAR_RS08690,Nmar_R0041,tRNA-Gly,1.53,0.05684043,16.9296697,8.640791417,3.94,2.621615893,#N/A,#N/A,#N/A,#N/A,NA,NA,999
NMAR_RS07150,Nmar_1337,mechanosensitive ion channel domain-containing protein,1.5,0.003213186,6.319748999,2.670708669,2.65,1.26266772,76G-FAM008320,Thaumi_prot_LH_FAM002092,N,Y,NM,NM,1507
NMAR_RS06240,Nmar_1162,hypothetical protein,1.49,3.34E-15,688.3193535,364.8478821,9.37,8.448789762,76G-FAM028466,Thaumi_prot_LH_FAM006580,N,Y,NM,NM,65
NMAR_RS07350,Nmar_1371,cation transporter,1.46,8.91E-05,9.847107244,7.709741619,3.09,2.941391329,76G-FAM008914,Thaumi_prot_LH_FAM002059,N,Y,NM,NM,1310
NMAR_RS01615,Nmar_R0014,tRNA-His,1.46,0.006520278,46.7688082,14.30737033,5.24,3.686268612,#N/A,#N/A,#N/A,#N/A,NA,NA,556
NMAR_RS04510,Nmar_0844,hypothetical protein,1.45,0.520156287,1.935035241,0.436556563,#NUM!,#NUM!,76G-FAM008671,Thaumi_prot_LH_FAM001967,N,Y,NM,NM,1832
NMAR_RS07255,0,hypothetical protein,1.45,4.72E-09,146.1873099,77.57445159,7.12,6.207281695,#N/A,Thaumi_prot_LH_FAM006605,#N/A,#N/A,NA,NM,241
NMAR_RS00670,Nmar_0128,hypothetical protein,1.44,0.000358238,14.62241616,7.827213756,3.73,2.833520835,76G-FAM008873,Thaumi_prot_LH_FAM001828,N,Y,NM,NM,1085
NMAR_RS00515,Nmar_R0003,tRNA-Leu,1.43,0.41264232,0,2.285756051,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,NA,1967
NMAR_RS06850,Nmar_1278,hypothetical protein,1.43,8.29E-07,58.36815649,32.32968818,5.77,4.982214343,76G-FAM007812,Thaumi_prot_LH_FAM000271,N,Y,NV+NF+NM,NV+NF+NM,483
NMAR_RS02570,Nmar_0479,phosphate ABC transporter substrate-binding protein PstS,1.42,9.79E-25,589.2575967,315.3371968,9.17,8.281690515,76G-FAM000599,Thaumi_prot_LH_FAM000377,N,N,NV+NF+NM,NV+NF+NM,71
NMAR_RS06550,Nmar_1218,hypothetical protein,1.4,9.83E-10,13.40300432,7.895048638,3.7,2.937606851,76G-FAM008919,Thaumi_prot_LH_FAM006597,N,Y,NM,NM,1136
NMAR_RS02580,Nmar_0481,phosphate ABC transporter permease subunit PstC,1.39,5.48E-14,250.6978227,135.6853522,7.93,7.045450671,76G-FAM000598,Thaumi_prot_LH_FAM000379,N,N,NV+NF+NM,NV+NF+NM,156
NMAR_RS04775,Nmar_0894,hypothetical protein,1.38,0.480355937,6.103913268,7.694425724,2.23,2.871140033,76G-FAM008372,Thaumi_prot_LH_FAM001983,N,Y,NM,NM,1520
NMAR_RS09800,0,hypothetical protein,1.37,0.789641702,1.065748923,0.163413879,#NUM!,#NUM!,#N/A,Thaumi_prot_LH_FAM002094,#N/A,#N/A,NA,NM,1906
NMAR_RS07305,Nmar_1362,hypothetical protein,1.35,0.552533569,1.975452871,0.815751787,#NUM!,#NUM!,76G-FAM008365,Thaumi_prot_LH_FAM000679,N,Y,NV+NF+NM,NV+NF+NM,1826
NMAR_RS07270,Nmar_1357,nitroreductase family protein,1.35,2.09E-40,335.0989045,183.8562774,8.33,7.509589621,76G-FAM000660_0,Thaumi_prot_LH_FAM001931,N,N,NV+NF+NM,NV+NF+NM,118
NMAR_RS07495,Nmar_1399,biofilm-associated protein,1.34,2.33E-21,146.8898515,84.04859012,7.15,6.379892311,76G-FAM008089,Thaumi_prot_LH_FAM000433,N,Y,NM,NM,238
NMAR_RS07810,Nmar_1458,hypothetical protein,1.33,3.11E-12,2294.896851,1282.603116,11.06,10.29582461,76G-FAM028494,Thaumi_prot_LH_FAM002119,N,Y,NM,NM,36
NMAR_RS03220,Nmar_R0022,tRNA-Pro,1.33,0.004785407,40.82045552,25.31704339,5.31,4.629312977,#N/A,#N/A,#N/A,#N/A,NA,NA,607
NMAR_RS07185,0,hypothetical protein,1.32,0.368133663,1.265971008,0.297177087,#NUM!,#NUM!,#N/A,Thaumi_prot_LH_FAM002095,#N/A,#N/A,NA,NM,1890
NMAR_RS07125,Nmar_1332,universal stress protein,1.32,0.001294741,18.03990248,10.5080524,4.11,3.355228536,76G-FAM008923,Thaumi_prot_LH_FAM006602,N,Y,NM,NM,960
NMAR_RS07430,Nmar_1386,DNA repair and recombination protein RadA,1.3,8.06E-27,2914.368302,1682.064836,11.48,10.70835446,76G-FAM000769,Thaumi_prot_LH_FAM000147,N,N,NV+NF+NM,NV+NF+NM,33
NMAR_RS02565,Nmar_0478,hypothetical protein,1.29,3.80E-15,183.0593938,105.5341891,7.47,6.704729245,76G-FAM008716,Thaumi_prot_LH_FAM001886,N,Y,NM,NM,196
NMAR_RS07385,Nmar_R0033,tRNA-Ser,1.28,0.036860419,41.78409252,29.14361906,5.25,4.606166927,#N/A,#N/A,#N/A,#N/A,NA,NA,599
NMAR_RS08960,Nmar_1675,hypothetical protein,1.28,0.02438925,5.859277279,2.940395571,2.22,1.498881749,76G-FAM007925,Thaumi_prot_LH_FAM001004,N,Y,NV+NF+NM,NV+NF+NM,1534
NMAR_RS07140,Nmar_1335,mechanosensitive ion channel family protein,1.27,0.000597926,14.51774318,8.036657926,3.75,2.953145702,76G-FAM006044,Thaumi_prot_LH_FAM002008,N,Y,NV+NM,NV+NM,1088
NMAR_RS07145,Nmar_1336,DUF432 domain-containing protein,1.26,4.71E-09,21.40698876,12.6604437,4.39,3.627432295,76G-FAM028484,Thaumi_prot_LH_FAM006604,N,Y,NM,NM,873
NMAR_RS06210,Nmar_1157,hypothetical protein,1.25,1.01E-10,16.76226067,10.82469295,4.05,3.431077602,76G-FAM028464,Thaumi_prot_LH_FAM006576,N,Y,NM,NM,1005
NMAR_RS10040,0,hypothetical protein,1.25,0.016063304,1419.820254,506.7305788,9.67,8.952220613,#N/A,#N/A,#N/A,#N/A,NA,NA,42
NMAR_RS00045,Nmar_0009,ACT domain-containing protein,1.25,8.80E-30,208.5901975,123.62581,7.66,6.940447105,76G-FAM004849,Thaumi_prot_LH_FAM001045,N,N,NF+NM,NF+NM,181
NMAR_RS08880,Nmar_1661,helix-turn-helix domain-containing protein,1.24,0.000314296,22.80703327,14.74933122,4.5,3.857743711,76G-FAM001357,Thaumi_prot_LH_FAM001380,N,N,NV+NF+NM,NV+NF+NM,842
NMAR_RS01290,0,hypothetical protein,1.24,0.011324948,19.2134329,5.751510627,3.95,2.390516638,#N/A,Thaumi_prot_LH_FAM001779,#N/A,#N/A,NA,NM,922
NMAR_RS09075,Nmar_1697,rhodanese-like domain-containing protein,1.23,6.17E-11,61.20021828,36.77575005,5.89,5.180819631,76G-FAM001528_0,Thaumi_prot_LH_FAM000233_0,Y,N,NV+NF+NM,NV+NF+NM,462
NMAR_RS08990,Nmar_1680,DMT family transporter,1.22,0.210350523,1.944114245,1.561213634,#NUM!,0.594553786,76G-FAM008532,Thaumi_prot_LH_FAM001364,N,Y,NV+NM,NV+NM,1831
NMAR_RS06540,Nmar_1216,hypothetical protein,1.21,0.077039701,1.664395024,0.97906597,0.58,-0.221001095,76G-FAM008917,Thaumi_prot_LH_FAM002070,N,Y,NM,NM,1853
NMAR_RS03590,Nmar_0671,hypothetical protein,1.2,0.216598324,1.036995484,1.04785857,-0.08,0.027362429,76G-FAM008416,Thaumi_prot_LH_FAM001921,N,Y,NM,NM,1908
NMAR_RS02185,Nmar_R0017,tRNA-Ser,1.18,0.011182431,28.89797175,18.40616946,4.78,4.069770389,#N/A,#N/A,#N/A,#N/A,NA,NA,756
NMAR_RS02390,Nmar_R0018,tRNA-Gly,1.18,0.092283855,5.991919323,1.824401838,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,NA,1528
NMAR_RS01535,Nmar_R0012,tRNA-Ile,1.18,0.045370252,45.15262522,22.32558429,5.3,4.270619077,#N/A,#N/A,#N/A,#N/A,NA,NA,569
NMAR_RS06865,Nmar_1281,winged helix-turn-helix transcriptional regulator,1.18,0.404661262,2.080932384,1.400577402,0.49,-0.08076892,76G-FAM007586,Thaumi_prot_LH_FAM001003,N,Y,NV+NF+NM,NV+NF+NM,1812
NMAR_RS07785,Nmar_1453,RtcB family protein,1.18,1.91E-15,56.02819651,35.20262173,5.77,5.13620562,76G-FAM000491,Thaumi_prot_LH_FAM000588,Y,N,NV+NF+NM,NV+NF+NM,496
NMAR_RS07500,Nmar_1400,adenine phosphoribosyltransferase,1.18,1.29E-06,23.8891335,14.86146189,4.47,3.82703723,76G-FAM002671,Thaumi_prot_LH_FAM000432,Y,N,NV+NF+NM,NV+NF+NM,822
NMAR_RS07425,Nmar_1385,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN,1.16,4.45E-15,48.58719143,31.29838451,5.55,4.946146684,76G-FAM008086,Thaumi_prot_LH_FAM001514,N,Y,NM,NM,546
NMAR_RS06695,Nmar_1247,PAS domain-containing sensor histidine kinase,1.16,1.50E-07,15.83872038,10.32573162,3.98,3.333065221,76G-FAM008920,Thaumi_prot_LH_FAM002074,N,Y,NM,NM,1040
NMAR_RS08020,Nmar_R0037,tRNA-Ile,1.16,0.000880143,30.35101776,10.61072292,4.83,3.287530575,#N/A,#N/A,#N/A,#N/A,NA,NA,734
