Old_Locus,Locus,Info,log2FC,padj,TPM_BF,TPM_Ctrl,log2TPM_BF,log2TPM_Ctrl,protein_fam,Protein Family LH,AOA conserved,AOA exclusive,"Conserved NV,NF,NM",Conserved in Soil Strains,up in:,,,,,,,baseMean,lfcSE,stat,pvalue
NVIE_001050,NVIE_RS00515,zinc finger C2H2 domain-containing protein,0.24,7.57E-01,0.69,0.72,-0.63,-0.83,76G-FAM011477,Thaumi_prot_LH_FAM002676,N,Y,,,,,,,,,,12.8702106,0.589222547,0.409663118,0.682053089
NVIE_001070,NVIE_RS00520,conserved protein of unknown function,-0.24,4.73E-01,20.63,29.79,4.23,4.88,76G-FAM011475,Thaumi_prot_LH_FAM002674,N,Y,,,,,,,,,,137.2691416,0.270989195,-0.885383413,0.375949876
NVIE_001080,NVIE_RS00525,putative ketosteroid isomerase-like protein,0.33,6.09E-03,106.65,103.66,6.73,6.69,76G-FAM035453,Thaumi_prot_LH_FAM008425,N,Y,,,,,,,,,,1786.78081,0.110470355,3.008490116,0.002625493
NVIE_001100,NVIE_RS00535,protein of unknown function,1.5,5.64E-08,6.66,2.89,2.69,1.46,76G-FAM010095,Thaumi_prot_LH_FAM003481,N,Y,,,,,,,,,,125.3152904,0.261365985,5.743822542,9.26E-09
NVIE_001110,NVIE_RS00540,protein of unknown function,1.54,4.71E-04,3.53,1.46,1.67,0.45,76G-FAM010096,Thaumi_prot_LH_FAM003482,N,Y,,,,,,,,,,39.21538477,0.408077688,3.780063937,0.000156788
NVIE_001120,NVIE_RS00545,protein of unknown function,0.54,3.16E-02,3.24,2.71,1.67,1.42,76G-FAM010097,Thaumi_prot_LH_FAM003483,N,Y,,,,,,,,,,83.03587748,0.227066493,2.397942047,0.016487474
NVIE_001130,NVIE_RS00550,putative transcriptional regulator,-0.06,6.66E-01,28.01,35.77,4.79,5.16,76G-FAM010400,Thaumi_prot_LH_FAM003484,N,Y,,,,,,,,,,2698.298738,0.115318868,-0.551179228,0.581510818
NVIE_001140,NVIE_RS00560,protein of unknown function,-0.67,3.35E-05,12.77,24.86,3.64,4.63,76G-FAM035136,Thaumi_prot_LH_FAM008427,N,Y,,,,,,,,,,1029.964343,0.150562881,-4.444249113,8.82E-06
NVIE_001150,NVIE_RS00565,exported protein of unknown function,0.42,2.30E-01,6.53,5.9,2.63,2.53,76G-FAM010098,Thaumi_prot_LH_FAM003485,N,Y,,,,,,,,,,56.79247508,0.296148455,1.408256516,0.159055127
NVIE_001160,NVIE_RS00570,protein of unknown function,0.98,1.84E-09,13.63,8.45,3.76,3.06,76G-FAM010099,Thaumi_prot_LH_FAM003486,N,Y,,,,,,,,,,324.8590783,0.154748526,6.334330623,2.38E-10
NVIE_001170,NVIE_RS00575,protein of unknown function,0.08,6.63E-01,10.74,12.37,3.4,3.62,76G-FAM010100,Thaumi_prot_LH_FAM003008,N,Y,,,,,,,,,,439.8561578,0.151823345,0.555422609,0.578605632
NVIE_001180,NVIE_RS00580,protein of unknown function,1.3,9.86E-34,159.76,79.33,7.31,6.31,76G-FAM010102,Thaumi_prot_LH_FAM003487,N,Y,,,,,,,,,,7884.128524,0.104473779,12.41840048,2.08E-35
NVIE_001190,NVIE_RS00585,hypothetical protein,-0.04,7.08E-01,261.68,331.11,8.03,8.37,76G-FAM035137,Thaumi_prot_LH_FAM000262,N,Y,,,,,,,,,,5422.872439,0.090747514,-0.48660725,0.626536685
NVIE_001230,NVIE_RS00600,C-5 cytosine-specific DNA methylase,-0.38,9.95E-05,61.08,96.97,5.93,6.6,76G-FAM009575,Thaumi_prot_LH_FAM003488,N,Y,,,,,,,,,,3748.246607,0.090085058,-4.184172663,2.86E-05
NVIE_001240,NVIE_RS00605,putative HhH-GPD superfamily base excision DNA repair protein,-0.43,3.59E-03,13.65,22.45,3.77,4.48,76G-FAM006198,Thaumi_prot_LH_FAM008429,N,Y,,,,,,,,,,501.082213,0.13435596,-3.187039135,0.001437373
