Old_Locus,Locus,Info,log2FC,padj,TPM_BF,TPM_Ctrl,log2TPM_BF,log2TPM_Ctrl,protein_fam,Protein Family LH,AOA conserved,AOA exclusive,"Conserved NV,NF,NM",Conserved in Soil Strains
NFRAN_RS00125,NFRAN_0029,dihydropteroate synthase,0.4,8.70E-03,332.85,370.81,8.34,8.53,76G-FAM008285,Thaumi_prot_LH_FAM000509,N,Y,,
NFRAN_RS00130,NFRAN_0030,homocysteine S-methyltransferase family protein,0.42,4.71E-03,305.7,333.37,8.21,8.38,76G-FAM008284,Thaumi_prot_LH_FAM000508,N,Y,,
NFRAN_RS00135,NFRAN_TRNA1,tRNA-Arg,0.04,9.32E-01,21.04,30.08,4.38,4.84,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS00140,NFRAN_0032,hypothetical protein,0.77,1.58E-02,8.61,7.5,3.09,2.86,76G-FAM035484,Thaumi_prot_LH_FAM013049,N,Y,,
NFRAN_RS00145,NFRAN_0033,hypothetical protein,0.37,6.06E-01,2.25,2.5,0.99,1.13,76G-FAM035485,Thaumi_prot_LH_FAM013050,N,Y,,
NFRAN_RS00150,NFRAN_0036,hypothetical protein,0.27,6.12E-01,6.75,8.3,2.63,2.89,76G-FAM035486,Thaumi_prot_LH_FAM013051,N,Y,,
NFRAN_RS00155,NFRAN_0037,hypothetical protein,-0.13,8.21E-01,4.46,7.03,1.95,2.77,76G-FAM035487,Thaumi_prot_LH_FAM013052,N,Y,,
NFRAN_RS00160,NFRAN_0038,anion permease,0.79,8.47E-04,130.07,110.09,6.93,6.76,76G-FAM035488,Thaumi_prot_LH_FAM013053,N,Y,,
NFRAN_RS00165,NFRAN_0039,isochorismatase family cysteine hydrolase,0.81,1.61E-07,91.31,75.77,6.47,6.24,76G-FAM009697,Thaumi_prot_LH_FAM002770,N,Y,,
NFRAN_RS00170,NFRAN_0040,NAD(P)H-dependent oxidoreductase,-0.61,2.74E-07,67.95,151.16,6.06,7.24,76G-FAM008623,Thaumi_prot_LH_FAM001915,N,Y,,
NFRAN_RS00175,NFRAN_0041,cation:proton antiporter,-0.24,5.54E-02,24.49,42.53,4.61,5.4,76G-FAM008218,Thaumi_prot_LH_FAM000602,N,Y,,
NFRAN_RS00180,NFRAN_0042,hypothetical protein,0.15,7.52E-01,8.6,10.96,2.93,3.39,76G-FAM009721,Thaumi_prot_LH_FAM003194,N,Y,,
NFRAN_RS00185,NFRAN_0044,universal stress protein,0.34,5.48E-04,94.84,110.32,6.56,6.78,76G-FAM001480_0,Thaumi_prot_LH_FAM000499_1,N,N,,
NFRAN_RS00190,NFRAN_0048,helix-turn-helix domain-containing protein,0.34,3.00E-02,27.52,31.86,4.76,4.99,76G-FAM008529,Thaumi_prot_LH_FAM001266,N,Y,,
NFRAN_RS00195,NFRAN_0049,arsenite methyltransferase,0.52,1.69E-03,14.55,15.11,3.86,3.92,76G-FAM002666,Thaumi_prot_LH_FAM001267,N,N,,
NFRAN_RS00200,NFRAN_0051,collagen-like protein,-0.62,2.84E-03,53.74,120.83,5.69,6.9,76G-FAM009153,Thaumi_prot_LH_FAM004558,N,Y,,
NFRAN_RS00205,0,hypothetical protein,-0.69,6.15E-03,16.13,37.57,3.93,5.22,76G-FAM035489,Thaumi_prot_LH_FAM013054,N,Y,,
NFRAN_RS00210,0,UBP-type zinc finger domain-containing protein,0.31,9.01E-02,28.21,33.41,4.81,5.05,76G-FAM007488,Thaumi_prot_LH_FAM002061,N,Y,,
NFRAN_RS00215,NFRAN_0054,MFS transporter,-0.22,8.42E-01,0.32,0.52,#NUM!,-1.14,#N/A,Thaumi_prot_LH_FAM004454,#N/A,#N/A,,
NFRAN_RS00220,NFRAN_0055,Rid family hydrolase,-0.35,6.08E-01,1.08,2.07,0.02,0.96,76G-FAM011550,Thaumi_prot_LH_FAM003618,N,Y,,
NFRAN_RS00225,NFRAN_0057,NAD(P)/FAD-dependent oxidoreductase,0.5,5.71E-05,25.4,26.58,4.66,4.73,76G-FAM007469,Thaumi_prot_LH_FAM004413,N,Y,,
NFRAN_RS00230,NFRAN_0058,hypothetical protein,0.42,2.55E-02,124.39,136.85,6.92,7.09,76G-FAM008625,Thaumi_prot_LH_FAM002402,N,Y,,
NFRAN_RS13435,NFRAN_0060,hypothetical protein,0.24,7.64E-01,3.24,4.02,1.38,1.84,#N/A,Thaumi_prot_LH_FAM013056,#N/A,#N/A,,
NFRAN_RS00235,NFRAN_0063,adenylate/guanylate cyclase domain-containing protein,-0.42,4.23E-03,47.62,93.45,5.55,6.54,76G-FAM011226,Thaumi_prot_LH_FAM004928,N,Y,,
NFRAN_RS00240,NFRAN_0064,CBS domain-containing protein,0.71,8.93E-08,268.85,242.82,8.06,7.92,76G-FAM007489,Thaumi_prot_LH_FAM004630,N,Y,,
NFRAN_RS00245,NFRAN_0065,DDE-type integrase/transposase/recombinase,-3.32,1.41E-01,0.02,0.28,#NUM!,#NUM!,76G-FAM003153,Thaumi_prot_LH_FAM002609,N,N,,
NFRAN_RS13440,NFRAN_0067,hypothetical protein,1.07,2.59E-13,653.53,461.51,9.35,8.83,#N/A,Thaumi_prot_LH_FAM001341,#N/A,#N/A,,
NFRAN_RS00250,NFRAN_0068,hypothetical protein,-0.82,1.16E-04,15.4,39.09,3.88,5.27,76G-FAM011135,Thaumi_prot_LH_FAM004840,N,Y,,
NFRAN_RS00255,NFRAN_0069,hypothetical protein,-0.01,9.70E-01,50.92,74.45,5.62,6.21,76G-FAM035490,Thaumi_prot_LH_FAM013057,N,Y,,
NFRAN_RS13385,NFRAN_0070,hypothetical protein,-0.26,4.26E-01,13.96,24.68,3.76,4.59,#N/A,Thaumi_prot_LH_FAM013058,#N/A,#N/A,,
NFRAN_RS00260,NFRAN_0071,hypothetical protein,0.26,8.35E-03,959.15,1177.22,9.89,10.2,76G-FAM010130,Thaumi_prot_LH_FAM002642,N,Y,,
NFRAN_RS00265,NFRAN_0072,SDR family oxidoreductase,-0.28,2.43E-03,127.25,226.67,6.98,7.82,76G-FAM000690_0,Thaumi_prot_LH_FAM000716_0,Y,N,,
NFRAN_RS00270,NFRAN_0074,hypothetical protein,0.08,6.67E-01,31.01,42.81,4.91,5.42,76G-FAM011186,Thaumi_prot_LH_FAM004892,N,Y,,
NFRAN_RS00275,NFRAN_0075,polyprenol monophosphomannose synthase,-0.05,7.02E-01,84.96,128.86,6.39,7,76G-FAM000824,Thaumi_prot_LH_FAM001096,N,N,,
NFRAN_RS00280,NFRAN_0076,ABC transporter substrate-binding protein,-0.12,3.48E-01,72.36,115.05,6.16,6.84,76G-FAM001020,Thaumi_prot_LH_FAM000287,N,N,,
NFRAN_RS00285,NFRAN_0077,hypothetical protein,1.91,2.73E-02,1.31,0.52,0.37,#NUM!,76G-FAM035491,Thaumi_prot_LH_FAM013059,N,Y,,
NFRAN_RS00290,NFRAN_0078,hypothetical protein,1.53,1.70E-03,6.86,3.46,2.71,1.68,76G-FAM035492,Thaumi_prot_LH_FAM013060,N,Y,,
NFRAN_RS00295,NFRAN_0079,hypothetical protein,-0.16,4.42E-01,36.54,59.59,5.16,5.89,76G-FAM010514,Thaumi_prot_LH_FAM004112,N,Y,,
NFRAN_RS00300,NFRAN_0080,hypothetical protein,-0.57,3.47E-03,17.39,37.87,4.1,5.23,76G-FAM035493,Thaumi_prot_LH_FAM013061,N,Y,,
NFRAN_RS00305,NFRAN_0081,hypothetical protein,0.13,8.71E-01,2.54,3.41,1.08,1.66,76G-FAM011130,Thaumi_prot_LH_FAM004835,N,Y,,
NFRAN_RS00310,NFRAN_0083,DUF5050 domain-containing protein,0.17,2.63E-01,242.91,316.68,7.9,8.3,76G-FAM035494,Thaumi_prot_LH_FAM005561,N,Y,,
NFRAN_RS00315,NFRAN_0084,hypothetical protein,0.28,2.05E-02,80.41,97.42,6.31,6.6,76G-FAM011551,Thaumi_prot_LH_FAM005519,N,Y,,
NFRAN_RS00320,NFRAN_0085,hypothetical protein,0.45,4.77E-02,6.73,7.29,2.74,2.85,76G-FAM009793,Thaumi_prot_LH_FAM001214,N,Y,,
NFRAN_RS00325,NFRAN_0086,hypothetical protein,-0.55,1.95E-06,137.61,293.46,7.07,8.19,76G-FAM007636,Thaumi_prot_LH_FAM000773,Y,Y,,
NFRAN_RS00330,NFRAN_0087,SMC-Scp complex subunit ScpB,-0.25,5.17E-02,43.16,75.13,5.41,6.23,76G-FAM000275,Thaumi_prot_LH_FAM000774,Y,N,,
NFRAN_RS00335,NFRAN_0088,30S ribosomal protein S8e,0.01,9.23E-01,812.87,1175.95,9.64,10.2,76G-FAM000276,Thaumi_prot_LH_FAM000775,Y,N,,
NFRAN_RS00340,NFRAN_0089,phosphoribosylformylglycinamidine synthase subunit PurQ,-0.06,7.16E-01,150.82,228.81,7.2,7.83,76G-FAM002061,Thaumi_prot_LH_FAM001094,N,N,,
NFRAN_RS00345,NFRAN_0090,phosphoribosylformylglycinamidine synthase subunit PurL,0.11,3.85E-01,235.97,321.92,7.87,8.33,76G-FAM002060,Thaumi_prot_LH_FAM001093,N,N,,
NFRAN_RS00350,NFRAN_0091,amidophosphoribosyltransferase,0.39,3.76E-04,292.44,328.14,8.18,8.36,76G-FAM002059,Thaumi_prot_LH_FAM001092,Y,N,,
NFRAN_RS00355,NFRAN_0092,hypothetical protein,0.25,3.84E-02,117.83,145.31,6.87,7.18,76G-FAM007805,Thaumi_prot_LH_FAM000704,Y,Y,,
NFRAN_RS00360,NFRAN_0094,NUDIX domain-containing protein,0.26,7.82E-02,140.52,171.44,7.11,7.41,76G-FAM010881,Thaumi_prot_LH_FAM004462,N,Y,,
NFRAN_RS00365,NFRAN_0095,DNA topoisomerase I,0.47,2.10E-04,345.92,366.8,8.42,8.52,76G-FAM001315,Thaumi_prot_LH_FAM000107,Y,N,,
NFRAN_RS00370,NFRAN_0096,dihydroorotate dehydrogenase electron transfer subunit,0.19,4.98E-02,73.7,93.98,6.18,6.55,76G-FAM000125,Thaumi_prot_LH_FAM000366,N,N,,
NFRAN_RS00375,NFRAN_0097,dihydroorotate dehydrogenase,0.39,5.04E-07,390.68,436.1,8.6,8.77,76G-FAM001920,Thaumi_prot_LH_FAM000367,N,N,,
NFRAN_RS00380,NFRAN_TRNA2,tRNA-Met,0.1,9.10E-01,4.7,6.66,2,2.64,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS00385,NFRAN_0098,"5,6-dimethylbenzimidazole synthase",-0.39,8.98E-03,17.55,33.62,4.1,5.07,76G-FAM000660_1,Thaumi_prot_LH_FAM000862,N,Y,,
NFRAN_RS00390,NFRAN_0099,dethiobiotin synthase,-0.08,6.85E-01,22.17,34.69,4.46,5.11,76G-FAM007439,Thaumi_prot_LH_FAM000539,Y,Y,,
NFRAN_RS00395,NFRAN_0100,nucleotidyltransferase family protein,-0.18,9.76E-02,77.41,128.81,6.26,7.01,76G-FAM000731_0,Thaumi_prot_LH_FAM000286,Y,N,,
NFRAN_RS00400,NFRAN_0101,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,-0.01,9.32E-01,236.56,348.65,7.86,8.44,76G-FAM000496,Thaumi_prot_LH_FAM000131,N,Y,,
NFRAN_RS00405,NFRAN_0103,translation initiation factor IF-5A,-0.08,4.92E-01,291.57,452.15,8.17,8.82,76G-FAM000757,Thaumi_prot_LH_FAM000274,N,N,,
NFRAN_RS00410,NFRAN_0104,site-2 protease family protein,0.31,4.86E-03,350.06,416.2,8.44,8.7,76G-FAM000784,Thaumi_prot_LH_FAM002872,N,N,,
NFRAN_RS00415,NFRAN_0105,class I SAM-dependent methyltransferase,-0.54,7.55E-04,24.7,51.91,4.58,5.69,76G-FAM008082,Thaumi_prot_LH_FAM001537,N,Y,,
NFRAN_RS00420,NFRAN_0106,hypothetical protein,-0.02,9.07E-01,173.57,257,7.41,8,76G-FAM010884,Thaumi_prot_LH_FAM001673,N,Y,,
NFRAN_RS00425,NFRAN_0107,hypothetical protein,0.56,1.71E-04,104.5,103.23,6.66,6.69,76G-FAM010885,Thaumi_prot_LH_FAM004464,N,Y,,
NFRAN_RS00430,NFRAN_0108,cysteine--tRNA ligase,-0.19,7.48E-02,229.88,383.18,7.83,8.58,76G-FAM000730,Thaumi_prot_LH_FAM000731,N,N,,
NFRAN_RS00435,NFRAN_0109,non-heme iron oxygenase ferredoxin subunit,-0.14,2.80E-01,633.09,1034.44,9.3,10.01,76G-FAM001504_0,Thaumi_prot_LH_FAM000737_0,Y,N,,
NFRAN_RS00440,NFRAN_0110,methionine--tRNA ligase,-0.49,2.25E-04,20.45,41.81,4.32,5.39,76G-FAM000267,Thaumi_prot_LH_FAM000762,N,N,,
NFRAN_RS00445,NFRAN_0111,nicotinamide-nucleotide adenylyltransferase,0.35,2.61E-03,107.55,124.71,6.74,6.96,76G-FAM000836_0,Thaumi_prot_LH_FAM000759,Y,N,,
NFRAN_RS00450,NFRAN_0112,L-histidine N(alpha)-methyltransferase,-0.28,4.51E-02,59.93,106.27,5.87,6.73,76G-FAM007588,Thaumi_prot_LH_FAM000243,N,Y,,
NFRAN_RS00455,NFRAN_0113,5-amino-6-(D-ribitylamino)uracil--L-tyrosine 4-hydroxyphenyl transferase CofH,0.44,5.65E-04,308.14,337.21,8.26,8.4,76G-FAM004894_0,Thaumi_prot_LH_FAM000117,Y,N,,
NFRAN_RS00460,NFRAN_0114,"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase CofG",0.84,1.36E-09,237.98,195.13,7.87,7.6,76G-FAM007601,Thaumi_prot_LH_FAM000668,N,Y,,
NFRAN_RS00465,NFRAN_0115,cobalamin B12-binding domain-containing protein,1.04,1.13E-10,275.8,198.86,8.1,7.61,76G-FAM001823,Thaumi_prot_LH_FAM000321,N,N,,
NFRAN_RS00470,NFRAN_0116,ketol-acid reductoisomerase,-0.54,9.40E-05,277.01,591.19,8.09,9.21,76G-FAM000959,Thaumi_prot_LH_FAM000758,Y,N,,
NFRAN_RS00475,NFRAN_0117,prephenate dehydrogenase/arogenate dehydrogenase family protein,-0.23,3.67E-02,35.29,60.62,5.12,5.92,76G-FAM010886,Thaumi_prot_LH_FAM004465,N,Y,,
NFRAN_RS00480,NFRAN_0118,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,-0.17,1.50E-01,131.2,216.39,7.02,7.75,76G-FAM000917,Thaumi_prot_LH_FAM000127,Y,N,,
NFRAN_RS00485,NFRAN_0119,chorismate synthase,-0.1,3.94E-01,172.63,272.93,7.42,8.09,76G-FAM000664,Thaumi_prot_LH_FAM000126,Y,N,,
NFRAN_RS00490,NFRAN_0120,3-phosphoshikimate 1-carboxyvinyltransferase,-0.54,9.40E-05,93.54,201.07,6.53,7.65,76G-FAM000481,Thaumi_prot_LH_FAM000123,Y,N,,
NFRAN_RS00495,NFRAN_0121,shikimate kinase,0.08,5.79E-01,84.42,117.16,6.38,6.87,76G-FAM000482,Thaumi_prot_LH_FAM000122,N,N,,
NFRAN_RS00500,NFRAN_0122,shikimate dehydrogenase,-0.06,7.12E-01,94.09,142.31,6.52,7.15,76G-FAM000483,Thaumi_prot_LH_FAM000121,N,N,,
NFRAN_RS00505,NFRAN_0123,type I 3-dehydroquinate dehydratase,0.3,6.83E-03,58.31,69.98,5.86,6.13,76G-FAM000484,Thaumi_prot_LH_FAM000120,Y,N,,
NFRAN_RS00510,NFRAN_0124,twin-arginine translocase subunit TatC,0.44,6.31E-03,93.33,101.3,6.51,6.65,76G-FAM002966,Thaumi_prot_LH_FAM000488,N,N,,
NFRAN_RS00515,NFRAN_0126,site-specific DNA-methyltransferase,-0.47,7.87E-04,262.6,538.18,8.02,9.07,76G-FAM009556,Thaumi_prot_LH_FAM001323,N,Y,,
NFRAN_RS00520,NFRAN_0127,3-dehydroquinate synthase II,-0.28,3.69E-02,239.13,425.31,7.88,8.73,76G-FAM000485,Thaumi_prot_LH_FAM000119,Y,N,,
NFRAN_RS00525,NFRAN_0128,"2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase",-0.1,2.58E-01,232.94,365.2,7.85,8.51,76G-FAM000486_0,Thaumi_prot_LH_FAM000118,Y,N,,
NFRAN_RS00530,NFRAN_0129,NAD+ synthase,-0.06,6.51E-01,35.92,54.58,5.14,5.77,76G-FAM000311,Thaumi_prot_LH_FAM000732,N,N,,
NFRAN_RS00535,NFRAN_0130,citrate/2-methylcitrate synthase,0.77,1.93E-07,836.37,726.85,9.69,9.5,76G-FAM000895,Thaumi_prot_LH_FAM000437,Y,N,,
NFRAN_RS00540,NFRAN_0131,phosphoribosylformylglycinamidine cyclo-ligase,-0.34,1.31E-02,15.68,28.83,3.94,4.85,76G-FAM002055,Thaumi_prot_LH_FAM000614,Y,N,,
NFRAN_RS00545,NFRAN_0132,hypothetical protein,-0.41,5.16E-01,3.62,7.49,1.63,2.81,76G-FAM035495,Thaumi_prot_LH_FAM013062,N,Y,,
NFRAN_RS14190,NFRAN_0133,tRNA uridine(34) 5-carboxymethylaminomethyl modification radical SAM/GNAT enzyme Elp3,-0.22,4.61E-02,33.67,57.57,5.06,5.84,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS00555,NFRAN_0134,lysine--tRNA ligase,-0.2,7.31E-02,146.67,245.94,7.18,7.94,76G-FAM000407,Thaumi_prot_LH_FAM000617,Y,N,,
NFRAN_RS00560,NFRAN_0135,hypothetical protein,0.88,3.93E-14,113.39,91.54,6.82,6.51,76G-FAM010887,Thaumi_prot_LH_FAM004466,N,Y,,
NFRAN_RS00565,NFRAN_0136,hypothetical protein,0.33,1.40E-01,28.01,33.11,4.8,5.02,76G-FAM010888,Thaumi_prot_LH_FAM004467,N,Y,,
NFRAN_RS00570,NFRAN_0137,DUF6659 family protein,0.22,2.10E-01,53.48,67.59,5.72,6.06,76G-FAM003537_0,Thaumi_prot_LH_FAM000040_0,Y,N,,
NFRAN_RS00575,NFRAN_0140,hypothetical protein,-0.7,2.42E-08,190.69,447.77,7.53,8.8,76G-FAM010889,Thaumi_prot_LH_FAM004468,N,Y,,
NFRAN_RS00580,NFRAN_0141,hypothetical protein,-0.72,2.81E-02,15.42,37.93,3.87,5.18,76G-FAM035496,Thaumi_prot_LH_FAM013063,N,Y,,
NFRAN_RS00585,NFRAN_0142,nitroreductase family protein,1,1.28E-13,198.45,146.84,7.61,7.2,76G-FAM000660_0,Thaumi_prot_LH_FAM001931,N,N,,
NFRAN_RS00590,NFRAN_0143,hypothetical protein,-1.22,4.37E-15,292.13,986.98,8.13,9.94,76G-FAM010890,Thaumi_prot_LH_FAM004469,N,Y,,
NFRAN_RS00595,NFRAN_0144,hypothetical protein,-0.75,1.33E-01,1.86,4.69,0.79,2.22,76G-FAM010891,Thaumi_prot_LH_FAM004470,N,Y,,
NFRAN_RS00600,NFRAN_0146,NAD(P)/FAD-dependent oxidoreductase,0.06,5.77E-01,79.36,111.32,6.3,6.8,76G-FAM000569_0,Thaumi_prot_LH_FAM001354,Y,N,,
NFRAN_RS00605,NFRAN_0147,Lrp/AsnC ligand binding domain-containing protein,0,9.96E-01,20.55,29.74,4.22,4.88,76G-FAM000172_0,Thaumi_prot_LH_FAM000047_0,Y,N,,
NFRAN_RS00610,NFRAN_0148,sugar phosphate isomerase/epimerase,-0.16,2.43E-01,25.14,40.9,4.63,5.35,76G-FAM010892,Thaumi_prot_LH_FAM004471,N,Y,,
NFRAN_RS00615,NFRAN_0149,nucleotide pyrophosphatase/phosphodiesterase family protein,-0.14,2.73E-01,176.34,284.63,7.44,8.15,76G-FAM009165,Thaumi_prot_LH_FAM002680,N,Y,,
NFRAN_RS13445,0,hypothetical protein,2.64,1.51E-07,12044.84,2849.25,13.23,11.44,#N/A,Thaumi_prot_LH_FAM013064,#N/A,#N/A,,
NFRAN_RS00620,NFRAN_0153,hypothetical protein,1.29,4.03E-05,20.35,12.22,4.25,3.53,76G-FAM010894,Thaumi_prot_LH_FAM004472,N,Y,,
NFRAN_RS00625,NFRAN_0154,hypothetical protein,-0.47,6.35E-09,179.26,365.32,7.48,8.51,76G-FAM010895,Thaumi_prot_LH_FAM004473,N,Y,,
NFRAN_RS00630,NFRAN_0155,UbiA family prenyltransferase,-0.4,3.07E-02,9.06,17.61,3.16,4.12,76G-FAM009204,Thaumi_prot_LH_FAM002681,N,Y,,
NFRAN_RS00635,NFRAN_0156,sugar phosphate isomerase/epimerase,-0.38,1.38E-02,11.91,22.47,3.55,4.48,76G-FAM009164,Thaumi_prot_LH_FAM002682,N,Y,,
NFRAN_RS00640,NFRAN_0157,hypothetical protein,0.71,3.46E-11,495.29,446.67,8.95,8.8,76G-FAM010896,Thaumi_prot_LH_FAM004474,N,Y,,
NFRAN_RS13450,NFRAN_0158,hypothetical protein,0.89,4.60E-04,150.15,117.56,7.1,6.86,#N/A,Thaumi_prot_LH_FAM002882,#N/A,#N/A,,
NFRAN_RS14285,NFRAN_0159,hypothetical protein,0.88,1.51E-02,305.78,246.84,8.21,7.87,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS00655,NFRAN_0161,hypothetical protein,0.55,8.60E-05,38.58,38.95,5.26,5.28,76G-FAM010735,Thaumi_prot_LH_FAM004319,N,Y,,
NFRAN_RS13455,NFRAN_0162,hypothetical protein,-0.44,3.91E-01,2.79,5.4,1.36,2.38,#N/A,Thaumi_prot_LH_FAM013067,#N/A,#N/A,,
NFRAN_RS00660,NFRAN_0163,alcohol dehydrogenase catalytic domain-containing protein,-0.45,1.33E-02,10.21,20.34,3.3,4.34,76G-FAM000733_0,Thaumi_prot_LH_FAM002684,Y,N,,
NFRAN_RS00665,NFRAN_0164,TatD family hydrolase,0.12,3.61E-01,118.47,160.88,6.88,7.33,76G-FAM009195,Thaumi_prot_LH_FAM002683,N,Y,,
NFRAN_RS00670,NFRAN_0166,hypothetical protein,0.09,5.10E-01,2781.37,3843.69,11.44,11.9,76G-FAM035498,Thaumi_prot_LH_FAM013068,N,Y,,
NFRAN_RS00675,0,hypothetical protein,-0.19,8.78E-01,1.07,1.66,#NUM!,0.58,76G-FAM003153,Thaumi_prot_LH_FAM002609,N,N,,
NFRAN_RS00680,NFRAN_0168,hypothetical protein,-0.88,3.60E-01,0.79,2.16,#NUM!,0.86,76G-FAM035499,Thaumi_prot_LH_FAM002609,N,Y,,
NFRAN_RS00685,0,hypothetical protein,-0.8,4.05E-01,1.7,4.34,#NUM!,2.09,76G-FAM011552,Thaumi_prot_LH_FAM005649,N,Y,,
NFRAN_RS00690,NFRAN_0169,hypothetical protein,-0.34,5.63E-02,666.07,1218.28,9.33,10.23,76G-FAM010575,Thaumi_prot_LH_FAM004173,N,Y,,
NFRAN_RS13460,NFRAN_0170,hypothetical protein,-0.36,3.49E-01,867.55,1616.44,9.73,10.56,#N/A,Thaumi_prot_LH_FAM013069,#N/A,#N/A,,
NFRAN_RS00700,NFRAN_0171,hypothetical protein,0,9.87E-01,3.26,4.75,1.68,2.24,76G-FAM010900,Thaumi_prot_LH_FAM004477,N,Y,,
