Old_Locus,Locus,Info,log2FC,padj,TPM_BF,TPM_Ctrl,log2TPM_BF,log2TPM_Ctrl,protein_fam,Protein family LH,AOA conserved,AOA exclusive,Conserved,Conserved_LH,Rank TPM
NVIE_014300,NVIE_RS06945,Copper resistance protein CopC/CopD,4.92,6.99E-16,2601.13,107.07,11.25,6.38,76G-FAM010303,Thaumi_prot_LH_FAM003659,N,Y,NV,NV,36
NVIE_014170,NVIE_RS06875,putative sialidase - neuraminidase family protein,4.8,1.78E-36,155.96,6.94,7.23,2.68,76G-FAM010445,Thaumi_prot_LH_FAM003657,N,Y,NV+NF,NV+NF,904
NVIE_004020,NVIE_RS01945,Universal stress protein YxiE,4.74,1.44E-15,73.11,3.36,5.81,1.65,76G-FAM001480_0,Thaumi_prot_LH_FAM000499_0,N,N,NV+NF+NM,NV+NF+NM,1522
NVIE_001850,NVIE_RS00900,exported protein of unknown function,4.69,9.23E-37,1318.19,63.07,10.32,5.85,76G-FAM010019,Thaumi_prot_LH_FAM003501,N,Y,NV,NV,81
NVIE_003950,#N/A,protein of unknown function,4.67,2.57E-19,72.57,3.49,5.88,1.77,#N/A,#N/A,#N/A,#N/A,NA,#N/A,1528
NVIE_004160,NVIE_RS02000,RDD family protein,4.52,1.59E-13,90.23,4.85,6.02,2.23,76G-FAM004953,Thaumi_prot_LH_FAM002228,N,Y,NV+NF,NV+NF,1363
NVIE_004010,NVIE_RS01940,CBS domain-containing protein (modular protein),4.51,2.97E-17,156.84,8.45,6.91,3.07,76G-FAM009799,Thaumi_prot_LH_FAM001413_0,N,Y,NV+NF,NV+NF+NM,899
NVIE_018560,NVIE_RS09030,protein of unknown function,4.47,3.86E-45,844.16,47.73,9.65,5.51,76G-FAM009783,Thaumi_prot_LH_FAM002828,N,Y,NV+NF,NV+NF,144
NVIE_004000,NVIE_RS01935,CBS and zinc finger C2H2 domain-containing protein,4.46,2.94E-15,119.48,6.64,6.47,2.73,76G-FAM000773_0,Thaumi_prot_LH_FAM001413_0,N,N,NV+NF+NM,NV+NF+NM,1103
NVIE_000970,NVIE_RS00475,hypothetical protein,4.41,9.44E-213,28590.26,1651.89,14.78,10.68,76G-FAM007625,Thaumi_prot_LH_FAM002293,N,Y,NV,NV,4
NVIE_004170,NVIE_RS02005,hypothetical protein,4.35,2.23E-15,124.21,7.43,6.55,2.89,76G-FAM009871,Thaumi_prot_LH_FAM002981,N,Y,NV,NV,1075
NVIE_012890,NVIE_RS06260,protein of unknown function,4.35,2.37E-13,76.51,4.65,5.87,2.13,76G-FAM001284,Thaumi_prot_LH_FAM003647,N,N,NV,NV,1482
NVIE_009530,NVIE_RS04655,molecular chaperone HSP90 family,4.29,0.00E+00,80.06,5.02,6.31,2.33,76G-FAM011495,Thaumi_prot_LH_FAM002946,N,Y,NV,NV,1446
NVIE_009510,NVIE_RS04645,hypothetical protein,4.25,1.52E-121,47.94,3.09,5.55,1.62,76G-FAM011497,Thaumi_prot_LH_FAM002948,N,Y,NV,NV,1825
NVIE_004180,NVIE_RS02010,protein of unknown function,4.22,1.77E-12,45.35,2.97,5.05,1.55,76G-FAM009870,Thaumi_prot_LH_FAM003535,N,Y,NV,NV,1876
NVIE_003990,NVIE_RS01930,UspA domain containing protein,4.16,1.02E-15,94.42,6.49,6.23,2.67,76G-FAM001480_0,Thaumi_prot_LH_FAM000499_1,N,N,NV+NF+NM,NV+NF+NM,1318
NVIE_009540,NVIE_RS04660,putative Hsp90 domain protein,4.13,3.43E-142,83.8,5.86,6.37,2.53,76G-FAM011494,Thaumi_prot_LH_FAM002945,N,Y,NV,NV,1418
NVIE_025020,#N/A,protein of unknown function,4.1,7.67E-04,1.21,0.08,0.04,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,#N/A,3082
NVIE_0972,#N/A,hypothetical protein,4.09,1.24E-04,2.04,0.17,0.97,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,#N/A,3031
NVIE_004140,NVIE_RS01990,hypothetical protein,4.01,3.61E-17,932.2,71.36,9.58,6.14,76G-FAM009869,Thaumi_prot_LH_FAM002979,N,Y,NV+NF,NV+NF,128
NVIE_009520,NVIE_RS04650,hypothetical protein,3.95,1.86E-124,142.68,11.26,7.12,3.48,76G-FAM011496,Thaumi_prot_LH_FAM002947,N,Y,NV,NV,974
NVIE_004060,NVIE_RS01955,protein of unknown function,3.88,4.07E-17,41.09,3.43,5.1,1.77,76G-FAM009873,Thaumi_prot_LH_FAM002984,N,Y,NV,NV,1928
NVIE_014160,NVIE_RS14560,Disulfide bond oxidoreductase D family protein,3.82,1.63E-28,50.39,4.47,5.58,2.08,76G-FAM009034,Thaumi_prot_LH_FAM000033,N,Y,NV+NF,NV+NF,1790
NVIE_004030,NVIE_RS01950,putative amino acid transporter,3.81,3.01E-13,55.68,4.91,5.45,2.28,76G-FAM003814,Thaumi_prot_LH_FAM002151,N,N,NV+NF+NM,NV+NF+NM,1726
NVIE_025050,#N/A,protein of unknown function,3.8,6.65E-16,85.86,7.61,6.15,2.92,#N/A,#N/A,#N/A,#N/A,NA,#N/A,1403
NVIE_005310,NVIE_RS02595,"Transcriptional regulator, Lrp family",3.76,1.36E-123,321.39,28.98,8.3,4.84,76G-FAM003445,Thaumi_prot_LH_FAM003543,N,N,NV,NV,459
NVIE_023020,NVIE_RS11035,hypothetical protein,3.75,1.03E-143,534.91,49.04,9.04,5.61,76G-FAM007620,Thaumi_prot_LH_FAM003207,N,Y,NV,NV,272
NVIE_009480,NVIE_RS04630,hypothetical protein,3.71,5.10E-35,26.89,2.53,4.66,1.22,76G-FAM011500,Thaumi_prot_LH_FAM002951,N,Y,NV,NV,2197
NVIE_003870,NVIE_RS15135,protein of unknown function,3.7,6.97E-08,45.83,4.31,5.09,1.93,#N/A,Thaumi_prot_LH_FAM008450,#N/A,#N/A,NA,NV,1861
NVIE_014220,NVIE_RS06905,membrane protein of unknown function,3.61,1.27E-53,42.95,4.26,5.37,2.02,76G-FAM007603,Thaumi_prot_LH_FAM001734,N,Y,NV+NF,NV+NF,1903
NVIE_003960,NVIE_RS01915,putative universal stress family protein,3.51,9.04E-12,167.06,17.95,7.04,4.16,76G-FAM001480_0,Thaumi_prot_LH_FAM000499_1,N,N,NV+NF+NM,NV+NF+NM,858
NVIE_004190,NVIE_RS02015,hypothetical protein,3.51,1.66E-11,67.28,7.26,5.74,2.84,76G-FAM011521,Thaumi_prot_LH_FAM002980,N,Y,NV,NV,1583
NVIE_003880,NVIE_RS01880,hypothetical protein,3.42,2.29E-10,70.18,8.07,5.75,3.01,76G-FAM001494,Thaumi_prot_LH_FAM002982,N,N,NV+NF,NV+NF,1556
NVIE_003920,NVIE_RS01900,Nitrogen regulatory protein P-II,3.4,4.59E-12,85.92,10.02,6.11,3.31,76G-FAM001710_0,Thaumi_prot_LH_FAM001030_0,N,N,NV+NF+NM,NV+NF+NM,1402
NVIE_000990,NVIE_RS00485,hypothetical protein,3.36,1.25E-139,2405.08,287.42,11.22,8.16,76G-FAM009110,Thaumi_prot_LH_FAM002293,N,Y,NV,NV,38
NVIE_016640,NVIE_RS08095,protein of unknown function,3.36,1.71E-44,115.77,13.94,6.77,3.76,76G-FAM009825,Thaumi_prot_LH_FAM003143,N,Y,NV,NV,1129
NVIE_014210,NVIE_RS06900,protein of unknown function,3.33,1.55E-67,97.81,11.81,6.53,3.56,76G-FAM010300,Thaumi_prot_LH_FAM003658,N,Y,NV,NV,1278
NVIE_014250,NVIE_RS06920,exported protein of unknown function,3.3,8.44E-28,9330.15,1174.35,13.14,10.13,76G-FAM010297,Thaumi_prot_LH_FAM001593,N,Y,NV,NV,14
NVIE_012950,NVIE_RS06285,protein of unknown function,3.3,3.98E-10,52.32,6.62,5.52,2.51,76G-FAM035256,Thaumi_prot_LH_FAM008548,N,Y,NV,NV,1763
NVIE_1770,#N/A,fragment/protein of unknown function,3.23,2.81E-01,0.5,0,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,#N/A,3135
NVIE_004070,NVIE_RS01960,NAD-dependent alcohol dehydrogenase,3.21,1.97E-11,123.06,16.29,6.65,4.02,76G-FAM000733_0,Thaumi_prot_LH_FAM000338,Y,N,NV+NF+NM,NV+NF+NM,1084
NVIE_010740,NVIE_RS05195,protein of unknown function,3.19,9.05E-18,88.9,12.18,6.33,3.58,76G-FAM010218,Thaumi_prot_LH_FAM002804,N,Y,NV,NV,1375
NVIE_004050,NVIE_RS14710,protein of unknown function,3.15,6.25E-10,11.26,1.56,3.19,0.48,#N/A,Thaumi_prot_LH_FAM002985,#N/A,#N/A,NA,NV,2633
NVIE_010080,NVIE_RS04900,putative archaeal preflagellin peptidase FlaK,3.08,3.71E-56,9.29,1.36,3.2,0.42,76G-FAM000811,Thaumi_prot_LH_FAM001463,N,N,NV,NV,2700
NVIE_1898,NVIE_RS09010,conserved membrane protein of unknown function,3.05,3.50E-69,62.12,9.25,5.93,3.18,76G-FAM008854,Thaumi_prot_LH_FAM003226,N,Y,NV,NV,1648
NVIE_0978,#N/A,hypothetical protein,3.02,2.30E-01,0.25,0.04,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,#N/A,3160
NVIE_009560,NVIE_RS14765,hypothetical protein,3,1.22E-49,68.74,10.48,6.06,3.36,#N/A,Thaumi_prot_LH_FAM002943,#N/A,#N/A,NA,NV,1564
NVIE_012980,NVIE_RS06300,Radical SAM,2.95,1.15E-46,659.68,105.39,9.28,6.71,76G-FAM035460,Thaumi_prot_LH_FAM008551,N,Y,NV,NV,201
NVIE_004080,#N/A,protein of unknown function,2.92,2.08E-09,17.69,2.84,3.78,1.37,#N/A,#N/A,#N/A,#N/A,NA,#N/A,2419
NVIE_029950,NVIE_RS14330,conserved protein of unknown function,2.9,1.05E-59,774.44,126.71,9.54,6.98,76G-FAM007817,Thaumi_prot_LH_FAM002857,N,Y,NV+NF,NV+NF,169
NVIE_021410,NVIE_RS10285,putative integrase family protein,2.9,3.61E-100,18.75,3.09,4.22,1.61,76G-FAM002266,Thaumi_prot_LH_FAM001759,N,N,NV,NV,2402
NVIE_012970,NVIE_RS06295,protein of unknown function,2.85,4.62E-37,125.32,21.33,6.87,4.41,76G-FAM035258,Thaumi_prot_LH_FAM008550,N,Y,NV,NV,1066
NVIE_023650,NVIE_RS15580,protein of unknown function,2.81,8.80E-24,27.26,4.81,4.75,2.16,#N/A,Thaumi_prot_LH_FAM003802,#N/A,#N/A,NA,NV,2192
NVIE_016650,NVIE_RS08100,protein of unknown function,2.8,3.50E-69,139.31,24.57,7.1,4.62,76G-FAM009824,Thaumi_prot_LH_FAM003704,N,Y,NV,NV,991
NVIE_010020,NVIE_RS04870,protein of unknown function,2.76,4.28E-36,32.62,5.87,4.98,2.52,76G-FAM010207,Thaumi_prot_LH_FAM003608,N,Y,NV,NV,2083
NVIE_003940,NVIE_RS01910,protein of unknown function,2.74,5.57E-56,357.84,65.71,8.44,6.03,76G-FAM000773_0,Thaumi_prot_LH_FAM001413_0,N,N,NV+NF+NM,NV+NF+NM,417
NVIE_012931,#N/A,P10,2.73,2.57E-01,0.9,0.14,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,#N/A,3100
NVIE_010030,NVIE_RS04875,putative KaiC family protein kinase,2.72,4.75E-50,84.94,15.8,6.36,3.98,76G-FAM000056,Thaumi_prot_LH_FAM003609,N,N,NV,NV,1411
NVIE_014290,NVIE_RS06940,hypothetical protein,2.72,5.65E-45,2865.08,537.73,11.46,9.03,76G-FAM007925,Thaumi_prot_LH_FAM001004,N,Y,NV+NF+NM,NV+NF+NM,33
NVIE_020470,NVIE_RS09830,protein of unknown function,2.71,3.22E-77,273.29,51.06,8.07,5.66,76G-FAM003445,Thaumi_prot_LH_FAM003543,N,N,NV,NV,535
NVIE_1071,#N/A,fragment/hypothetical protein,2.7,1.28E-01,1.07,0.22,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,#N/A,3087
NVIE_013000,NVIE_RS06305,protein of unknown function,2.68,4.38E-13,549.76,104.05,8.89,6.7,76G-FAM035461,Thaumi_prot_LH_FAM008553,N,Y,NV,NV,263
NVIE_003930,NVIE_RS01905,hypothetical protein,2.65,2.88E-13,94.75,18.49,6.4,4.19,76G-FAM008778,Thaumi_prot_LH_FAM002992,N,Y,NV+NF,NV+NF,1316
NVIE_012960,NVIE_RS06290,putative radical SAM domain protein,2.64,2.25E-41,248.05,48.72,7.87,5.6,76G-FAM035257,Thaumi_prot_LH_FAM008549,N,Y,NV,NV,587
NVIE_009960,NVIE_RS04840,protein of unknown function,2.61,1.60E-20,8.09,1.61,2.89,0.65,76G-FAM010205,Thaumi_prot_LH_FAM003606,N,Y,NV,NV,2743
NVIE_1318,#N/A,protein of unknown function,2.56,1.37E-06,16.46,3.33,3.63,1.61,#N/A,#N/A,#N/A,#N/A,NA,#N/A,2463
NVIE_027210,NVIE_RS13020,exported protein of unknown function,2.5,1.10E-06,399.47,85.63,8.3,6.4,76G-FAM035415,Thaumi_prot_LH_FAM008764,N,Y,NV,NV,374
NVIE_027410,#N/A,protein of unknown function,2.49,2.05E-01,0.62,0.13,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,#N/A,3125
NVIE_025610,NVIE_RS12250,hypothetical protein,2.48,1.51E-28,57.12,12.53,5.75,3.62,76G-FAM010343,Thaumi_prot_LH_FAM002648,N,Y,NV,NV,1710
NVIE_023360,NVIE_RS11195,exported protein of unknown function,2.47,3.73E-42,337.55,74.93,8.36,6.21,76G-FAM035339,Thaumi_prot_LH_FAM008668,N,Y,NV,NV,440
NVIE_026600,NVIE_RS12710,protein of unknown function,2.46,2.19E-10,258.11,57.15,7.81,5.83,76G-FAM035385,Thaumi_prot_LH_FAM008731,N,Y,NV,NV,557
NVIE_009790,NVIE_RS04770,putative Methyl-accepting chemotaxis sensory transducer,2.44,1.34E-51,59.91,13.53,5.87,3.75,76G-FAM007968,Thaumi_prot_LH_FAM001475,N,Y,NV,NV,1675
NVIE_010010,NVIE_RS04865,protein of unknown function,2.44,6.37E-20,22.43,5.07,4.39,2.33,76G-FAM010206,Thaumi_prot_LH_FAM003607,N,Y,NV,NV,2303
NVIE_000950,NVIE_RS00465,hypothetical protein with HTH ARSR and V4R signature,2.42,4.25E-61,563.73,128.97,9.12,6.99,76G-FAM009989,Thaumi_prot_LH_FAM002725,N,Y,NV,NV,252
NVIE_009550,NVIE_RS04665,hypothetical protein,2.38,1.09E-31,55.98,13.15,5.76,3.68,76G-FAM011493,Thaumi_prot_LH_FAM002944,N,Y,NV,NV,1721
NVIE_017740,NVIE_RS08640,Antibiotic biosynthesis monooxygenase,2.38,1.57E-129,1824.5,429.64,10.83,8.74,76G-FAM008617,Thaumi_prot_LH_FAM001540,N,Y,NV+NM,NV+NM,53
NVIE_2359,NVIE_RS11055,protein of unknown function,2.37,7.38E-11,22.05,5.23,4.42,2.15,76G-FAM010382,Thaumi_prot_LH_FAM003793,N,Y,NV,NV,2311
NVIE_016330,NVIE_RS07935,hypothetical protein,2.36,3.83E-20,6.95,1.65,2.74,0.67,76G-FAM003684,Thaumi_prot_LH_FAM002818,N,N,NV,NV,2797
NVIE_026610,NVIE_RS12715,conserved exported protein of unknown function,2.36,1.31E-09,384.42,90.76,8.39,6.5,76G-FAM011542,Thaumi_prot_LH_FAM003695,N,Y,NV,NV,386
NVIE_1096,NVIE_RS05210,hypothetical protein,2.35,7.27E-53,431.47,104.29,8.73,6.7,76G-FAM010221,Thaumi_prot_LH_FAM002807,N,Y,NV,NV,335
NVIE_0108,#N/A,hypothetical protein,2.33,5.50E-01,0.1,0,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,#N/A,3174
NVIE_010040,NVIE_RS04880,protein of unknown function,2.31,6.56E-32,14.59,3.63,3.83,1.84,76G-FAM010208,Thaumi_prot_LH_FAM003610,N,Y,NV,NV,2523
NVIE_010730,NVIE_RS05190,hypothetical protein,2.31,1.20E-37,80.92,20.27,6.3,4.34,76G-FAM010217,Thaumi_prot_LH_FAM002803,N,Y,NV,NV,1440
NVIE_001880,#N/A,protein of unknown function,2.28,1.02E-70,579.54,146.45,9.17,7.19,#N/A,#N/A,#N/A,#N/A,NA,#N/A,237
NVIE_002850,NVIE_RS01385,putative heat-shock protein Hsp20,2.28,1.08E-12,255.46,64.73,7.86,6.01,76G-FAM008780,Thaumi_prot_LH_FAM002176,N,Y,NV+NF,NV+NF,563
NVIE_009500,NVIE_RS04640,hypothetical protein,2.24,1.38E-51,141.38,36.43,7.11,5.18,76G-FAM011498,Thaumi_prot_LH_FAM002949,N,Y,NV,NV,978
NVIE_014310,NVIE_RS06955,Copper resistance protein CopC/CopD,2.24,2.90E-35,1352.05,355.06,10.37,8.44,76G-FAM007520,Thaumi_prot_LH_FAM001011,N,Y,NV+NM,NV+NM,79
NVIE_009950,NVIE_RS04835,archaeal flagellin,2.23,4.19E-44,302.04,78.68,8.2,6.29,76G-FAM001541,Thaumi_prot_LH_FAM001471,N,Y,NV,NV,484
NVIE_023350,NVIE_RS15570,exported protein of unknown function,2.2,1.12E-43,375.97,100.36,8.52,6.64,#N/A,Thaumi_prot_LH_FAM008667,#N/A,#N/A,NA,NV,402
NVIE_014280,NVIE_RS06935,"transcriptional regulator, ArsR family",2.19,8.27E-34,1044.44,282.09,9.99,8.11,76G-FAM007586,Thaumi_prot_LH_FAM001003,N,Y,NV+NF+NM,NV+NF+NM,111
NVIE_009640,#N/A,protein of unknown function,2.18,2.47E-11,20.23,5.47,4.32,2.28,#N/A,#N/A,#N/A,#N/A,NA,#N/A,2365
NVIE_009600,NVIE_RS04685,putative archaeal preflagellin peptidase FlaK,2.17,6.72E-21,14.89,4.03,3.88,1.94,76G-FAM000811,Thaumi_prot_LH_FAM001463,N,N,NV,NV,2513
NVIE_026500,NVIE_RS12665,hypothetical protein,2.14,7.68E-30,111.1,30.95,6.75,4.94,76G-FAM009865,Thaumi_prot_LH_FAM003065,N,Y,NV,NV,1175
NVIE_021820,NVIE_RS10490,Endonuclease/exonuclease/phosphatase,2.12,1.12E-55,1203.94,341.09,10.22,8.41,76G-FAM035323,Thaumi_prot_LH_FAM008649,N,Y,NV,NV,89
NVIE_028780,NVIE_RS13745,exported protein of unknown function,2.12,7.29E-24,39.68,11.25,5.24,3.48,76G-FAM010272,Thaumi_prot_LH_FAM003862,N,Y,NV,NV,1948
NVIE_002530,NVIE_RS01230,hypothetical protein,2.06,6.30E-15,28.68,8.34,4.77,3.01,76G-FAM010048,Thaumi_prot_LH_FAM002844,N,Y,NV,NV,2157
NVIE_001030,NVIE_RS00505,protein of unknown function,2.06,1.16E-57,207.9,61.19,7.68,5.93,76G-FAM009995,Thaumi_prot_LH_FAM003480,N,Y,NV,NV,695
NVIE_004150,NVIE_RS01995,protein of unknown function,2.06,1.35E-15,39.75,11.74,5.18,3.55,76G-FAM009872,Thaumi_prot_LH_FAM002987,N,Y,NV,NV,1946
NVIE_009280,NVIE_RS04535,putative BasA-like protein,1.98,1.10E-36,102.49,31.79,6.66,4.98,76G-FAM011514,Thaumi_prot_LH_FAM002970,N,Y,NV,NV,1241
NVIE_1975,#N/A,protein of unknown function,1.97,9.49E-23,180.15,56.12,7.44,5.77,#N/A,#N/A,#N/A,#N/A,NA,#N/A,796
NVIE_007530,NVIE_RS03655,hypothetical protein,1.97,1.62E-30,337.94,106.86,8.37,6.73,76G-FAM010198,Thaumi_prot_LH_FAM002848,N,Y,NV,NV,439
NVIE_2557,#N/A,protein of unknown function,1.96,6.20E-01,0.09,0,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,#N/A,3175
NVIE_009290,NVIE_RS04540,putative cell surface uncharacterised protein related to type IV pili,1.95,6.38E-38,86.82,27.53,6.42,4.78,76G-FAM011513,Thaumi_prot_LH_FAM002969,N,Y,NV,NV,1388
NVIE_015330,NVIE_RS07460,archaeal thermosome subunit,1.94,7.28E-25,35.09,11.19,5.06,3.48,76G-FAM000111_0,Thaumi_prot_LH_FAM001048,Y,N,NV+NF+NM,NV+NF+NM,2028
NVIE_002200,NVIE_RS14690,protein of unknown function,1.92,1.47E-03,3.34,1.06,1.57,-0.22,#N/A,Thaumi_prot_LH_FAM002808,#N/A,#N/A,NA,NV,2965
NVIE_004200,NVIE_RS02020,putative cupredoxin,1.92,1.39E-09,19.31,6.24,4.06,2.64,76G-FAM007465,Thaumi_prot_LH_FAM002106,N,Y,NV+NM,NV+NM,2389
NVIE_2544,#N/A,protein of unknown function,1.91,4.92E-01,0.41,0.16,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,#N/A,3144
NVIE_022090,NVIE_RS10625,protein of unknown function,1.9,4.72E-34,26.08,8.62,4.69,3.1,76G-FAM010397,Thaumi_prot_LH_FAM003229,N,Y,NV,NV,2216
NVIE_009850,NVIE_RS04790,chemotaxis response regulator CheY,1.88,3.50E-18,22.51,7.53,4.44,2.89,76G-FAM003595_0,Thaumi_prot_LH_FAM001253_0,N,N,NV+NF+NM,NV+NF+NM,2302
NVIE_010060,NVIE_RS04890,"putative transcriptional regulator, TrmB",1.86,2.80E-47,102.65,34.65,6.67,5.11,76G-FAM010204,Thaumi_prot_LH_FAM002745,N,Y,NV,NV,1239
NVIE_014790,NVIE_RS07185,"urea active transporter, urea/sodium symporter",1.82,4.28E-40,42.14,14.77,5.38,3.88,76G-FAM007860,Thaumi_prot_LH_FAM000304,N,Y,NV+NF,NV+NF,1911
NVIE_001200,NVIE_RS15055,protein of unknown function,1.8,4.63E-02,1.91,0.69,0.66,#NUM!,#N/A,Thaumi_prot_LH_FAM008428,#N/A,#N/A,NA,NV,3039
NVIE_017730,NVIE_RS08635,multicopper oxidase type 3,1.8,2.73E-31,9967.56,3552.49,13.28,11.75,76G-FAM003386,Thaumi_prot_LH_FAM000878,N,N,NV+NF+NM,NV+NF+NM,13
NVIE_021830,#N/A,protein of unknown function,1.78,1.70E-48,1612.97,573.63,10.64,9.16,#N/A,#N/A,#N/A,#N/A,NA,#N/A,63
NVIE_011220,NVIE_RS05420,protein of unknown function,1.76,5.97E-21,24.82,9.07,4.59,3.16,76G-FAM035230,Thaumi_prot_LH_FAM008521,N,Y,NV,NV,2246
NVIE_004100,NVIE_RS01970,protein of unknown function,1.74,6.99E-07,23.54,8.59,4.34,3.07,76G-FAM035158,Thaumi_prot_LH_FAM008453,N,Y,NV,NV,2280
NVIE_009860,NVIE_RS04795,Chemotaxis response regulator protein-glutamate methylesterase,1.74,4.99E-20,30.27,11.16,4.87,3.46,76G-FAM007966,Thaumi_prot_LH_FAM001477,N,Y,NV,NV,2124
NVIE_001090,#N/A,protein of unknown function,1.73,7.15E-04,4.04,1.5,1.9,0.49,#N/A,#N/A,#N/A,#N/A,NA,#N/A,2921
NVIE_028790,NVIE_RS13750,hypothetical protein,1.73,1.73E-16,9.21,3.45,3.19,1.74,76G-FAM009932,Thaumi_prot_LH_FAM003271,N,Y,NV,NV,2704
NVIE_010590,#N/A,protein of unknown function,1.72,2.75E-01,0.67,0.23,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,#N/A,3121
NVIE_009620,#N/A,protein of unknown function,1.71,4.44E-05,9.74,3.65,3.23,1.73,#N/A,#N/A,#N/A,#N/A,NA,#N/A,2687
NVIE_026130,NVIE_RS12495,protein of unknown function,1.7,4.41E-22,28.79,10.92,4.83,3.44,76G-FAM010003,Thaumi_prot_LH_FAM002795,N,Y,NV,NV,2155
NVIE_025870,NVIE_RS12375,exported protein of unknown function,1.69,8.57E-16,13.47,5.1,3.74,2.32,76G-FAM010341,Thaumi_prot_LH_FAM003830,N,Y,NV,NV,2555
NVIE_020100,NVIE_RS14880,protein of unknown function,1.69,6.59E-21,250.79,95.97,7.93,6.57,#N/A,Thaumi_prot_LH_FAM008622,#N/A,#N/A,NA,NV,577
NVIE_006230,NVIE_RS03050,protein of unknown function,1.68,4.97E-15,28.07,10.71,4.76,3.4,76G-FAM011534,Thaumi_prot_LH_FAM003225,N,Y,NV,NV,2176
NVIE_028840,NVIE_RS13775,Rieske (2Fe-2S) domain protein,1.68,1.10E-24,55.1,21.27,5.77,4.38,76G-FAM001504_0,Thaumi_prot_LH_FAM003853,Y,N,NV+NF+NM,NV,1731
NVIE_024190,NVIE_RS11590,protein of unknown function with C-terminal blue (Type 1) copper domain,1.67,8.70E-32,853.23,329.74,9.71,8.36,76G-FAM007421,Thaumi_prot_LH_FAM003132,N,Y,NV,NV,142
NVIE_003470,NVIE_RS01695,protein of unknown function,1.66,7.60E-09,19.46,7.55,4.18,2.87,76G-FAM003537_0,Thaumi_prot_LH_FAM000040_0,Y,N,NV+NF+NM,NV+NF+NM,2388
NVIE_019310,NVIE_RS09355,putative 4Fe-4S ferredoxin iron-sulfur binding domain protein,1.66,9.69E-22,16.41,6.37,4.01,2.66,76G-FAM000562_0,Thaumi_prot_LH_FAM000965,Y,N,NV+NF+NM,NV+NF+NM,2464
NVIE_014340,NVIE_RS06970,exported protein of unknown function,1.65,5.21E-23,2002.22,786.31,10.95,9.59,76G-FAM003389,Thaumi_prot_LH_FAM001010,N,N,NV+NM,NV+NM,47
