Old_Locus,Locus,Info,log2FC,padj,TPM_BF,TPM_Ctrl,log2TPM_BF,log2TPM_Ctrl,protein_fam,Protein Family LH,AOA conserved,AOA exclusive,"Conserved NV,NF,NM",Conserved in Soil Strains,up in:,,,,,,,,,baseMean,lfcSE,stat,pvalue
NMAR_RS00095,0,hypothetical protein,-0.73,0.477709859,2.204383365,4.569262856,#NUM!,2.17986746,#N/A,Thaumi_prot_LH_FAM000186_0,#N/A,#N/A,,,,,,,,,,,,13.62367337,0.720632578,-1.009682334,0.312647509
NMAR_RS00100,Nmar_0018,hypothetical protein,0.05,0.94093929,7.289354191,7.37786724,2.45,2.849799418,76G-FAM008165,Thaumi_prot_LH_FAM001026,N,Y,,,,,,,,,,,,43.15206521,0.445424611,0.112610149,0.910339639
NMAR_RS00105,Nmar_0019,hypothetical protein,-0.2,0.503656396,8.138744227,12.11645053,2.9,3.563159847,76G-FAM008467,Thaumi_prot_LH_FAM001067,N,Y,,,,,,,,,,,,193.7917638,0.210038731,-0.95493657,0.339609775
NMAR_RS00110,Nmar_0020,TFIIB-type zinc ribbon-containing protein,0.2,0.184531564,52.74871904,66.42482488,5.68,6.043748012,76G-FAM000279_0,Thaumi_prot_LH_FAM000723_0,Y,N,,,,,,,,,,,,1160.29092,0.113443754,1.722130964,0.085045797
NMAR_RS00115,Nmar_0021,cation:proton antiporter,-0.15,0.504286703,18.40770706,24.51837774,4.16,4.608445227,76G-FAM008166,Thaumi_prot_LH_FAM001068,N,Y,,,,,,,,,,,,587.453769,0.156044311,-0.952581135,0.340802339
NMAR_RS00120,Nmar_0022,hemerythrin domain-containing protein,-0.59,0.412342065,1.965554914,5.03914718,0.69,2.268298314,76G-FAM007537,Thaumi_prot_LH_FAM001069,Y,Y,,,,,,,,,,,,36.49230759,0.514944704,-1.145874375,0.251847135
NMAR_RS00125,Nmar_0023,adenylyl-sulfate kinase,0.53,0.000328947,227.1447145,219.095208,7.78,7.764086387,76G-FAM003550,Thaumi_prot_LH_FAM001070,N,N,,,,,,,,,,,,2203.629798,0.130470599,4.071051407,4.68E-05
NMAR_RS00130,Nmar_0024,"3'(2'),5'-bisphosphate nucleotidase CysQ",0.29,0.479469185,10.57032906,11.68189261,3.15,3.524808434,76G-FAM008167,Thaumi_prot_LH_FAM001071,N,Y,,,,,,,,,,,,172.2093841,0.288901213,1.005256264,0.314773469
NMAR_RS00135,Nmar_0025,hypothetical protein,-0.65,0.266503203,9.550800991,18.1577601,2.92,4.10903397,76G-FAM008168,Thaumi_prot_LH_FAM001072,N,Y,,,,,,,,,,,,54.33871448,0.437107056,-1.48988199,0.136255268
NMAR_RS00140,Nmar_0026,SDR family NAD(P)-dependent oxidoreductase,0.21,0.637467651,16.77052323,23.09486279,4,4.525220812,76G-FAM000690_0,Thaumi_prot_LH_FAM000716_0,Y,N,,,,,,,,,,,,285.1130653,0.302728466,0.702589428,0.482311653
NMAR_RS00145,Nmar_0027,hypothetical protein,-0.26,0.643923697,39.75212793,50.64603623,5.04,5.601718553,76G-FAM008169,Thaumi_prot_LH_FAM001073,N,Y,,,,,,,,,,,,86.13394221,0.382279458,-0.687485093,0.491777091
NMAR_RS00150,Nmar_0028,hypothetical protein,-4.8,0.000546738,0.059285954,2.279429633,#NUM!,1.153018126,76G-FAM008524,Thaumi_prot_LH_FAM001817,N,Y,,,,,,,,,,,,10.82845084,1.2177135,-3.94024175,8.14E-05
NMAR_RS00155,Nmar_0029,hypothetical protein,-1.1,8.37E-17,88.231704,262.7832494,6.41,8.028568888,76G-FAM000095_0,Thaumi_prot_LH_FAM000545,Y,N,,,,,,,,,,,,2053.89573,0.126164996,-8.717245477,2.85E-18
NMAR_RS09905,Nmar_0030,hypothetical protein,0.89,3.98E-13,63.32697415,47.97333014,5.95,5.576935174,76G-FAM028416,#N/A,N,Y,,,,,,,,,,,,1093.297661,0.115933569,7.671070955,1.71E-14
NMAR_RS00165,Nmar_0031,hypothetical protein,0.01,0.962116192,46.18422588,61.19492839,5.47,5.928454662,76G-FAM008170,Thaumi_prot_LH_FAM001201,N,Y,,,,,,,,,,,,490.0805169,0.165494021,0.074508894,0.940605464
NMAR_RS00170,Nmar_0032,hypothetical protein,1.7,2.93E-13,395.4098846,171.4689113,8.58,7.360274124,76G-FAM008525,Thaumi_prot_LH_FAM001818,N,Y,,,,,,,,,,,,3598.139484,0.220270826,7.715442022,1.21E-14
NMAR_RS00175,Nmar_0033,winged helix-turn-helix domain-containing protein,2.72,7.54E-66,7968.660599,1665.254298,12.93,10.67484474,76G-FAM001591_0,Thaumi_prot_LH_FAM000595,Y,N,,,,,,,,,,,,30732.42243,0.156115852,17.43844776,4.21E-68
NMAR_RS00180,Nmar_0034,TrmB family transcriptional regulator,2.21,3.17E-34,2357.323183,740.9180967,11.15,9.494440073,76G-FAM008171,Thaumi_prot_LH_FAM001074,N,Y,,,,,,,,,,,,29536.18228,0.176327053,12.52238895,5.63E-36
NMAR_RS00185,Nmar_0035,hypothetical protein,1.92,4.07E-44,627.3926402,237.4886236,9.25,7.881137723,76G-FAM008172,Thaumi_prot_LH_FAM001819,N,Y,,,,,,,,,,,,2965.651807,0.135144442,14.23999395,5.17E-46
NMAR_RS00190,Nmar_0036,hypothetical protein,1.8,0.000311025,13.91876844,5.738864727,3.7,2.36149053,76G-FAM008173,Thaumi_prot_LH_FAM001075,N,Y,,,,,,,,,,,,37.39790477,0.440728018,4.089957597,4.31E-05
NMAR_RS00195,Nmar_0037,7-carboxy-7-deazaguanine synthase QueE,0.55,0.01327435,28.03556548,25.12030263,4.73,4.620807144,76G-FAM007501,Thaumi_prot_LH_FAM001076,N,Y,,,,,,,,,,,,345.7905129,0.187091785,2.94616463,0.003217411
NMAR_RS00200,Nmar_0038,GTP cyclohydrolase I FolE,-0.59,6.37E-05,156.3776087,331.2499762,7.24,8.366975985,76G-FAM005803,Thaumi_prot_LH_FAM001077,N,Y,,,,,,,,,,,,2530.554517,0.131545722,-4.482477956,7.38E-06
NMAR_RS00205,Nmar_0039,hypothetical protein,0.08,0.67153733,174.0506957,225.1975846,7.41,7.799634876,76G-FAM008174,Thaumi_prot_LH_FAM001078,N,Y,,,,,,,,,,,,1435.134726,0.121557833,0.639094,0.522761783
NMAR_RS00210,Nmar_0040,7-cyano-7-deazaguanine synthase,0.06,0.864617717,25.38785666,32.8182514,4.66,5.013067322,76G-FAM001608,Thaumi_prot_LH_FAM001079,N,N,,,,,,,,,,,,352.1971991,0.202544962,0.279316731,0.780001767
NMAR_RS00215,Nmar_0041,homoserine kinase,0.17,0.363435332,57.01023058,69.48226073,5.77,6.100697788,76G-FAM000930,Thaumi_prot_LH_FAM001080,N,N,,,,,,,,,,,,1085.650954,0.132946843,1.258846234,0.208085877
NMAR_RS00220,Nmar_0042,ATP/GTP-binding protein,-0.53,0.023194537,14.8168246,28.84779588,3.81,4.84232475,76G-FAM000270,Thaumi_prot_LH_FAM001081,N,N,,,,,,,,,,,,301.5148704,0.192402925,-2.730230947,0.006328997
NMAR_RS00225,Nmar_0043,lysylphosphatidylglycerol synthase transmembrane domain-containing protein,0.17,0.472399433,20.24594128,25.47781709,4.3,4.643140968,76G-FAM007433,Thaumi_prot_LH_FAM001082,N,Y,,,,,,,,,,,,434.1473853,0.17006417,1.019377701,0.308023688
NMAR_RS00230,Nmar_0044,SDR family NAD(P)-dependent oxidoreductase,0.01,0.975744029,9.062260791,12.53430558,3.16,3.640194879,76G-FAM000690_0,Thaumi_prot_LH_FAM000716_0,Y,N,,,,,,,,,,,,148.0160698,0.231150172,0.050928535,0.959382468
NMAR_RS00235,Nmar_0045,hypothetical protein,-0.1,0.796858154,15.73076777,26.00757696,3.94,4.678122295,76G-FAM003351,Thaumi_prot_LH_FAM001205,N,N,,,,,,,,,,,,187.9620071,0.244607374,-0.405508657,0.685103656
NMAR_RS00240,Nmar_0046,hypothetical protein,-0.39,0.311751463,11.6476651,23.69076129,3.52,4.534682934,76G-FAM000636,Thaumi_prot_LH_FAM001083,N,N,,,,,,,,,,,,103.4591568,0.286144076,-1.378934616,0.167914914
NMAR_RS00245,Nmar_0047,glycosyl transferase,-0.24,0.340959688,9.607012789,14.53198206,3.21,3.832088214,76G-FAM008175,Thaumi_prot_LH_FAM001084,N,Y,,,,,,,,,,,,254.7017685,0.182112793,-1.311948386,0.18953755
NMAR_RS00250,Nmar_0048,thiamine biosynthesis protein,-0.2,0.74070636,2.198269535,3.943071347,1.06,1.902852403,76G-FAM008176,Thaumi_prot_LH_FAM001085,N,Y,,,,,,,,,,,,64.47415753,0.391429066,-0.514765645,0.606716795
NMAR_RS00255,Nmar_0049,phosphoadenylyl-sulfate reductase,0.3,0.046828081,59.6360561,67.77984703,5.83,6.078404183,76G-FAM004900,Thaumi_prot_LH_FAM001086,N,N,,,,,,,,,,,,847.0237491,0.124362567,2.424908429,0.015312249
NMAR_RS00260,Nmar_0050,sulfate adenylyltransferase,0.15,0.375281266,107.2684145,136.5485135,6.7,7.077147448,76G-FAM003545,Thaumi_prot_LH_FAM001087,N,N,,,,,,,,,,,,2596.984193,0.119104175,1.230948846,0.218341997
NMAR_RS00265,Nmar_0051,hypothetical protein,0.18,0.338570706,76.94951774,95.32245872,6.24,6.56487382,76G-FAM008177,Thaumi_prot_LH_FAM001088,N,Y,,,,,,,,,,,,1088.784708,0.137355852,1.31794704,0.187521377
NMAR_RS00270,Nmar_0052,endonuclease III,-0.16,0.679008811,6.689216049,8.676043227,2.72,3.074300524,76G-FAM000521,Thaumi_prot_LH_FAM001089,N,N,,,,,,,,,,,,103.8991093,0.256608599,-0.625438622,0.53168322
NMAR_RS00275,Nmar_0053,aconitase X catalytic domain-containing protein,-0.47,0.026623162,8.962137662,16.23417582,3.06,4.006943208,76G-FAM000620,Thaumi_prot_LH_FAM001090,N,N,,,,,,,,,,,,255.6311504,0.176400531,-2.6746379,0.007481
NMAR_RS00280,Nmar_0054,DUF126 domain-containing protein,0.4,0.460022249,7.434897733,7.624198708,2.41,2.900099584,76G-FAM000724,Thaumi_prot_LH_FAM001091,N,N,,,,,,,,,,,,96.76728418,0.386532164,1.045064044,0.295993371
NMAR_RS00285,Nmar_0055,ribosome rescue protein RqcH,0.07,0.843715566,4.831863013,6.421856922,2.18,2.65371926,76G-FAM002880,Thaumi_prot_LH_FAM001100,N,N,,,,,,,,,,,,191.5773842,0.213315106,0.315987762,0.752011797
NMAR_RS00290,Nmar_0056,hypothetical protein,-1.08,0.00010372,16.59456414,47.20054995,3.9,5.51272468,76G-FAM008178,Thaumi_prot_LH_FAM001099,N,Y,,,,,,,,,,,,286.2498008,0.248322022,-4.365185856,1.27E-05
NMAR_RS00295,Nmar_0057,"precorrin-6Y C5,15-methyltransferase (decarboxylating) subunit CbiT",-0.63,0.037383224,17.88077771,35.81323417,4.04,5.137370323,76G-FAM005622,Thaumi_prot_LH_FAM001098,N,Y,,,,,,,,,,,,272.8398578,0.250245762,-2.529690443,0.01141632
NMAR_RS00300,Nmar_0058,precorrin-2 C(20)-methyltransferase,0.01,0.981667496,11.72727277,16.69590981,3.52,4.033304623,76G-FAM007435,Thaumi_prot_LH_FAM001097,N,Y,,,,,,,,,,,,184.8542859,0.21941196,0.039656207,0.968367216
NMAR_RS00305,Nmar_0059,precorrin-4 C(11)-methyltransferase,0.12,0.675919051,13.36818651,17.80589615,3.7,4.13822758,76G-FAM001987,Thaumi_prot_LH_FAM000741,Y,N,,,,,,,,,,,,222.985774,0.185998666,0.630704913,0.528233486
NMAR_RS00310,Nmar_0060,aspartate/glutamate racemase family protein,0.27,0.774311207,1.809368655,2.453974617,-0.02,1.28146236,76G-FAM007569,Thaumi_prot_LH_FAM001207,N,Y,,,,,,,,,,,,30.44509501,0.598559242,0.44560512,0.655882511
NMAR_RS00315,Nmar_0061,Snf7 family protein,-0.21,0.085137583,7967.030446,13175.92107,12.93,13.68326714,76G-FAM000095_0,Thaumi_prot_LH_FAM000545,Y,N,,,,,,,,,,,,129626.3006,0.098317859,-2.14804364,0.031710289
NMAR_RS00320,Nmar_0062,glycosyltransferase family 2 protein,-0.61,0.042328255,16.24766849,30.11304522,3.89,4.863849333,76G-FAM000824,Thaumi_prot_LH_FAM001096,N,N,,,,,,,,,,,,258.0578877,0.244641493,-2.473060144,0.01339616
NMAR_RS00325,Nmar_0063,glycine--tRNA ligase,0.06,0.842885783,7.856808795,10.68759547,2.86,3.408493568,76G-FAM000715,Thaumi_prot_LH_FAM001102,Y,N,,,,,,,,,,,,247.9880122,0.196694164,0.319275858,0.749517338
NMAR_RS00330,Nmar_0064,deoxyribonuclease IV,-0.07,0.870680514,6.559717189,9.933984405,2.67,3.247415568,76G-FAM000493,Thaumi_prot_LH_FAM001103,Y,N,,,,,,,,,,,,132.0831636,0.27991707,-0.267826325,0.788833007
NMAR_RS00335,Nmar_0065,DNA primase,0.4,0.079909224,19.0707062,19.88087886,4.16,4.285271489,76G-FAM000588,Thaumi_prot_LH_FAM001104,Y,N,,,,,,,,,,,,370.971527,0.182275186,2.180850477,0.029194478
NMAR_RS00340,Nmar_0066,DNA primase small subunit domain-containing protein,0.24,0.693245537,2.475258268,3.454882889,1.28,1.762471455,76G-FAM000211,Thaumi_prot_LH_FAM001105,Y,N,,,,,,,,,,,,55.485412,0.400130198,0.596890219,0.550580678
NMAR_RS00345,Nmar_0067,UPF0182 family protein,0,0.991967944,40.31216922,57.64239347,5.3,5.839147746,76G-FAM000864,Thaumi_prot_LH_FAM001106,N,N,,,,,,,,,,,,2607.053624,0.125122064,-0.018912057,0.984911261
NMAR_RS00350,Nmar_0068,gamma-glutamyl-gamma-aminobutyrate hydrolase family protein,0.25,0.904192293,0.525216941,0.47923524,#NUM!,#NUM!,76G-FAM007445,Thaumi_prot_LH_FAM001107,Y,Y,,,,,,,,,,,,4.630002727,1.325791552,0.18914712,0.849977511
NMAR_RS00355,Nmar_0069,tetratricopeptide repeat protein,-0.18,0.706972894,6.114942522,8.374771915,2.31,3.038365947,76G-FAM007450,Thaumi_prot_LH_FAM001108,N,Y,,,,,,,,,,,,123.4677915,0.314338426,-0.572508914,0.566977249
NMAR_RS00360,Nmar_R0001,tRNA-Gly,1.63,0.426813957,2.452749288,0.202713181,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,3.437499995,1.461533004,1.114089987,0.265240584
NMAR_RS00365,Nmar_0070,hypothetical protein,0.15,0.668134637,65.50149019,96.63319922,5.86,6.552875613,76G-FAM007836,Thaumi_prot_LH_FAM000329,Y,Y,,,,,,,,,,,,175.2729388,0.240659342,0.643694681,0.51977344
NMAR_RS00370,Nmar_0071,30S ribosomal protein S6e,0.07,0.719530582,94.66767108,127.8165157,6.51,6.993536937,76G-FAM000779,Thaumi_prot_LH_FAM001109,Y,N,,,,,,,,,,,,852.3717775,0.121363078,0.548247818,0.583521752
NMAR_RS00375,Nmar_0072,translation initiation factor IF-2 subunit gamma,0.21,0.156434908,59.96214573,74.25426888,5.87,6.213137247,76G-FAM000461,Thaumi_prot_LH_FAM001110,Y,N,,,,,,,,,,,,1582.83874,0.113817232,1.815327256,0.069473633
NMAR_RS00380,Nmar_0073,twitching motility protein PilT,0.32,0.81944733,3.02114917,3.682222995,#NUM!,1.760090384,76G-FAM003279,Thaumi_prot_LH_FAM001111,N,N,,,,,,,,,,,,25.91758487,0.877685589,0.359664098,0.719098343
NMAR_RS00385,Nmar_0074,YbhB/YbcL family Raf kinase inhibitor-like protein,-0.1,0.610572767,93.00080046,139.8830176,6.49,7.120157901,76G-FAM002190,Thaumi_prot_LH_FAM001112,N,N,,,,,,,,,,,,975.5442213,0.131976789,-0.755126114,0.450173316
NMAR_RS00390,Nmar_0075,STT3 domain-containing protein,-0.57,0.00406211,12.13293109,23.79113043,3.48,4.563858121,76G-FAM002599,Thaumi_prot_LH_FAM001113,N,N,,,,,,,,,,,,604.4723338,0.170313697,-3.356084974,0.000790543
NMAR_RS00395,Nmar_0076,RNA-protein complex protein Nop10,-0.37,0.646043223,2.282956113,1.241843675,#NUM!,#NUM!,76G-FAM000665,Thaumi_prot_LH_FAM001211,N,N,,,,,,,,,,,,20.52327897,0.544765106,-0.683088395,0.494550988
NMAR_RS00400,Nmar_0077,translation initiation factor IF-2 subunit alpha,-0.12,0.763786814,11.73051218,19.54488619,3.52,4.263799877,76G-FAM000626,Thaumi_prot_LH_FAM001120,Y,N,,,,,,,,,,,,233.0550949,0.252101317,-0.463928936,0.642698661
NMAR_RS00405,Nmar_0078,"cob(I)yrinic acid a,c-diamide adenosyltransferase",-0.12,0.783860389,6.763019716,10.35745579,2.74,3.36254459,76G-FAM003036,Thaumi_prot_LH_FAM001119,Y,N,,,,,,,,,,,,86.99719602,0.285910311,-0.431695569,0.665962688
NMAR_RS00410,Nmar_0079,"cobyrinate a,c-diamide synthase",0.26,0.510068149,4.247769828,4.75746177,1.93,2.231977954,76G-FAM001990,Thaumi_prot_LH_FAM001118,N,Y,,,,,,,,,,,,113.8691161,0.28010651,0.939733608,0.347354221
NMAR_RS00415,Nmar_0080,precorrin-8X methylmutase,0.2,0.573687112,8.567441893,11.8414773,3.05,3.55811817,76G-FAM007443,Thaumi_prot_LH_FAM001117,N,Y,,,,,,,,,,,,120.3174311,0.241458577,0.828252115,0.407527735
NMAR_RS00420,Nmar_0081,CbiX/SirB N-terminal domain-containing protein,-0.1,0.905945045,2.118940259,2.599421084,0.62,1.305159177,76G-FAM007442,Thaumi_prot_LH_FAM001116,N,Y,,,,,,,,,,,,30.20885025,0.541486363,-0.185598463,0.852759659
NMAR_RS00425,Nmar_0082,cobalamin biosynthesis protein,-0.34,0.3654142,4.926682543,9.265819253,2.15,3.191666888,76G-FAM008043,Thaumi_prot_LH_FAM001115,N,Y,,,,,,,,,,,,134.0015151,0.26996912,-1.253560604,0.210001758
NMAR_RS00430,Nmar_0083,cobalt-precorrin-5B (C(1))-methyltransferase,0.37,0.266826472,5.988906744,6.867853322,2.56,2.74596019,76G-FAM005621,Thaumi_prot_LH_FAM001114,N,Y,,,,,,,,,,,,127.5717913,0.250160784,1.488317367,0.136667217
NMAR_RS00435,Nmar_0084,NAD-dependent epimerase/dehydratase family protein,0.47,0.482407309,1.435854466,1.894763254,0.4,0.881870877,76G-FAM008179,Thaumi_prot_LH_FAM001121,N,Y,,,,,,,,,,,,37.93490619,0.471233705,0.996423208,0.319044562
NMAR_RS00440,Nmar_0085,methionine adenosyltransferase,-0.52,0.001534473,28.80469943,58.21294599,4.84,5.849010612,76G-FAM002691,Thaumi_prot_LH_FAM001122,Y,N,,,,,,,,,,,,980.2078517,0.142850069,-3.647211157,0.000265102
NMAR_RS00445,Nmar_0086,U6 snRNA-associated Sm-like protein LSm6,-0.94,0.000251418,42.18912239,115.2989047,5.3,6.829004405,76G-FAM000322_0,Thaumi_prot_LH_FAM000024,Y,N,,,,,,,,,,,,342.561452,0.226536594,-4.14672254,3.37E-05
NMAR_RS00450,Nmar_0087,ATPase domain-containing protein,-0.2,0.910985775,0.387063223,0.611527186,#NUM!,-0.738022997,76G-FAM008044,Thaumi_prot_LH_FAM001123,N,Y,,,,,,,,,,,,5.086313799,1.175803146,-0.173779281,0.862038928
NMAR_RS00455,Nmar_0088,DEAD/DEAH box helicase,-0.09,0.747182933,4.724584305,6.635460554,2.12,2.72613911,76G-FAM000736,Thaumi_prot_LH_FAM001124,N,N,,,,,,,,,,,,282.8037899,0.172662675,-0.504225106,0.6141032
NMAR_RS00460,Nmar_0089,single-stranded DNA-binding protein,-0.15,0.462994828,27.70852465,42.53963386,4.71,5.405987363,76G-FAM007400,Thaumi_prot_LH_FAM001125,N,Y,,,,,,,,,,,,979.3956068,0.147802889,-1.039554404,0.29854697
NMAR_RS00465,Nmar_0090,ABC transporter ATP-binding protein,0.06,0.887710208,9.401158364,12.12714922,3.06,3.568443621,76G-FAM000031_3,Thaumi_prot_LH_FAM001126,Y,N,,,,,,,,,,,,186.6750937,0.276665083,0.231563774,0.816876847
NMAR_RS00470,Nmar_0091,ABC transporter permease,0.1,0.900857428,3.791682741,5.779102198,1.83,2.480972502,76G-FAM003681,Thaumi_prot_LH_FAM001127,N,N,,,,,,,,,,,,57.97399441,0.484153718,0.199837453,0.841607709
NMAR_RS00475,Nmar_0092,GDP-mannose dehydrogenase,-0.53,0.160729289,7.915465392,16.63663819,2.95,3.949430873,76G-FAM008181,Thaumi_prot_LH_FAM000387,N,Y,,,,,,,,,,,,165.9314774,0.29398845,-1.798828012,0.072045891
NMAR_RS00480,Nmar_R0002,tRNA-Gln,-0.37,0.683652312,16.40649158,24.16777855,3.63,4.396838925,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,26.76235934,0.593014358,-0.616217615,0.537750904
NMAR_RS00485,Nmar_0093,DUF354 domain-containing protein,-1.28,0.000154669,2.91134744,9.42356538,1.3,3.218259051,76G-FAM000872,Thaumi_prot_LH_FAM001128,N,N,,,,,,,,,,,,118.1756707,0.300481573,-4.271546337,1.94E-05
NMAR_RS00490,Nmar_0094,hypothetical protein,-0.2,0.426059918,14.44508883,23.57085125,3.81,4.531127698,76G-FAM002393,Thaumi_prot_LH_FAM001129,N,N,,,,,,,,,,,,401.2983259,0.183131096,-1.116194229,0.264339004
NMAR_RS00495,Nmar_0095,nucleotide exchange factor GrpE,-0.18,0.706972894,10.32346322,17.73733229,3.32,4.011326664,76G-FAM000877,Thaumi_prot_LH_FAM001130,Y,N,,,,,,,,,,,,148.5171969,0.321689447,-0.573108658,0.566571126
NMAR_RS00500,Nmar_0096,molecular chaperone DnaK,0.26,0.03004335,96.20175536,114.182852,6.54,6.822917751,76G-FAM000819,Thaumi_prot_LH_FAM001131,N,N,,,,,,,,,,,,3714.225289,0.098671295,2.62656111,0.00862525
NMAR_RS00505,Nmar_0097,molecular chaperone DnaJ,0.42,0.071755692,18.51275568,19.56255559,4.17,4.280092395,76G-FAM000820,Thaumi_prot_LH_FAM001132,N,N,,,,,,,,,,,,370.8393047,0.187314575,2.227895713,0.02588747
NMAR_RS00510,Nmar_0098,hypothetical protein,-0.31,0.605985623,3.089172575,5.150167181,1.51,2.282599734,76G-FAM000683,Thaumi_prot_LH_FAM001785,N,N,,,,,,,,,,,,34.65359841,0.411501386,-0.765023357,0.444257637
NMAR_RS09610,0,hypothetical protein,-1.18,0.522390923,0.920935984,0.792334059,#NUM!,#NUM!,#N/A,Thaumi_prot_LH_FAM001133,#N/A,#N/A,,,,,,,,,,,,5.995006994,1.288002048,-0.916997864,0.35914376
NMAR_RS00515,Nmar_R0003,tRNA-Leu,1.43,0.41264232,0,2.285756051,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,6.258077067,1.25074799,1.144400681,0.252457506
